neighbor_cohort,neighbor_state,source_state15_cells,neighbor_edges,mean_distance,median_distance,edge_fraction
State_12,12,11,29,3.5131890116066766,3.455723524093628,0.004833333333333334
State_13,13,1,1,3.778588056564331,3.778588056564331,0.00016666666666666666
State_15,15,200,5434,2.348059555998961,2.2706912755966187,0.9056666666666666
State_16,16,39,168,3.2330571831691834,3.3167508840560913,0.028
State_17,17,8,10,3.2786417961120606,3.1469972133636475,0.0016666666666666668
State_18,18,2,2,3.0526152849197388,3.0526152849197388,0.0003333333333333333
State_20,20,14,33,3.1291025335138496,3.1271579265594482,0.0055
State_5,5,5,7,3.2616047177995955,3.2877349853515625,0.0011666666666666668
State_7,7,13,23,3.306266152340433,3.2660574913024902,0.003833333333333333
State_9,9,2,4,3.6134124398231506,3.6776199340820312,0.0006666666666666666
boundary,,53,209,3.226526272924323,3.3130745887756348,0.034833333333333334
normal,,15,80,3.381519076228142,3.329361319541931,0.013333333333333334
