cohort,cohort_type,n_cells,n_datasets,n_patients,feature,n,mean,median,q05,q25,q75,q95,detection_fraction_score_gt_0
State_1,consensus_state,703,4,10,melanocytic_identity,703,0.28733371475851893,0.2594894766807556,0.0,0.15755552053451538,0.4013819247484207,0.6726680636405945,0.871977240398293
State_1,consensus_state,703,4,10,contractile_marker_panel,703,0.12053780092103976,0.0,0.0,0.0,0.17218803614377975,0.46106487810611724,0.4779516358463727
State_1,consensus_state,703,4,10,VEGFD_CTSK_panel,703,0.08957427017427821,0.0,0.0,0.0,0.14241418987512589,0.42937632203102105,0.3157894736842105
State_1,consensus_state,703,4,10,ESR1_hormone_marker,703,0.8155138865749154,0.7619224190711975,0.0,0.40022529661655426,1.2074203491210938,1.865812528133392,0.8378378378378378
State_1,consensus_state,703,4,10,HOX_PBX_markers,703,0.0015984760176067161,0.0,0.0,0.0,0.0,0.0,0.00995732574679943
State_1,consensus_state,703,4,10,CORE1,703,0.13407941886182784,0.08873005956411362,0.0,0.037855688482522964,0.17223799228668213,0.4254521876573562,0.7780938833570412
State_1,consensus_state,703,4,10,CORE2,703,0.17008300013257294,0.13603991270065308,0.03806678019464016,0.08345365524291992,0.21835198998451233,0.43958039581775654,0.9630156472261735
State_1,consensus_state,703,4,10,CORE3_identity,703,0.294105696956896,0.2722996473312378,0.1215319074690342,0.2020621821284294,0.3620830625295639,0.5152157247066497,1.0
State_1,consensus_state,703,4,10,LAM_myogenic_contractile,703,0.135018749362597,0.08818387985229492,0.0,0.03811935521662235,0.15701592713594437,0.41010603606700863,0.7837837837837838
State_1,consensus_state,703,4,10,ECM_remodeling,703,0.13653564512740243,0.06973112374544144,0.0,0.0,0.18757441639900208,0.4958474010229111,0.748221906116643
State_1,consensus_state,703,4,10,mTOR_translation,703,0.6541749192918432,0.6532762050628662,0.12320188879966736,0.3678513765335083,0.8357478082180023,1.4482980012893671,0.984352773826458
State_1,consensus_state,703,4,10,hormone_related,703,0.5722000561707559,0.5771820545196533,0.15290248543024063,0.46967992186546326,0.6941520869731903,0.8755754351615905,0.9886201991465149
State_1,consensus_state,703,4,10,hypoxia_stress,703,0.29325289853118564,0.27619653940200806,0.07955556586384774,0.20647557824850082,0.3621058762073517,0.5412984848022461,0.9829302987197724
State_1,consensus_state,703,4,10,protease_ECM_niche,703,0.22451017999420125,0.19269225001335144,0.03085710927844048,0.11817711964249611,0.28121761977672577,0.5700952410697937,0.9502133712660028
State_1,consensus_state,703,4,10,HOX_PBX,703,0.4189223166062347,0.42339226603507996,0.11207838952541352,0.29282963275909424,0.5425116419792175,0.7140258431434631,0.9871977240398293
State_1,consensus_state,703,4,10,normal_lung_interstitial,703,0.07975063681242137,0.031673580408096313,0.0,0.0,0.08518655598163605,0.32734124660491926,0.534850640113798
State_1,consensus_state,703,4,10,LAMCORE_777,703,0.2475452633471272,0.24273748695850372,0.17209551185369493,0.22417273372411728,0.26913508772850037,0.33310814499855035,1.0
State_1,consensus_state,703,4,10,ciliated,703,1.455082592868364,1.5107817649841309,0.7214458584785461,1.1902361512184143,1.7514063715934753,2.0155454874038696,1.0
State_1,consensus_state,703,4,10,AT2,703,0.8831221327122041,0.6792819499969482,0.1986600562930107,0.4448169618844986,1.197164535522461,2.105597829818725,0.9829302987197724
State_1,consensus_state,703,4,10,macrophage,703,0.25879056352703367,0.1340145617723465,0.0,0.07812025025486946,0.22273094952106476,1.126347386837005,0.930298719772404
State_1,consensus_state,703,4,10,endothelial,703,0.10631805704972822,0.03754763677716255,0.0,0.0,0.12298991903662682,0.4753224760293959,0.5490753911806543
State_1,consensus_state,703,4,10,fibroblast,703,0.08158383417773891,0.02886105142533779,0.0,0.0,0.07181136310100555,0.39157773852348293,0.5689900426742532
State_1,consensus_state,703,4,10,mesothelial,703,0.1333949191013555,0.13466541469097137,0.0,0.04942038469016552,0.20028793066740036,0.3052279204130172,0.7780938833570412
State_1,consensus_state,703,4,10,pericyte_VSMC,703,0.1063649973329978,0.06952150911092758,0.0,0.033058034256100655,0.1229584850370884,0.3622722417116165,0.817923186344239
State_1,consensus_state,703,4,10,gene_PMEL,703,0.031954234497751484,0.0,0.0,0.0,0.0,0.2532092124223708,0.06827880512091039
State_1,consensus_state,703,4,10,gene_MLANA,703,0.024805221033638945,0.0,0.0,0.0,0.0,0.1171964012086391,0.059743954480796585
State_1,consensus_state,703,4,10,gene_MITF,703,0.8052416883652783,0.7334495782852173,0.0,0.42383961379528046,1.1564896702766418,1.8908599972724913,0.8477951635846372
State_1,consensus_state,703,4,10,gene_ACTA2,703,0.20207630942017898,0.0,0.0,0.0,0.2825794070959091,0.9479943037033076,0.33001422475106684
State_1,consensus_state,703,4,10,gene_ACTG2,703,0.01154817649260015,0.0,0.0,0.0,0.0,0.0,0.02844950213371266
State_1,consensus_state,703,4,10,gene_MYH11,703,0.14798891592564148,0.0,0.0,0.0,0.046348677948117256,0.8879146575927729,0.25177809388335703
State_1,consensus_state,703,4,10,gene_VEGFD,703,0.049619591624011014,0.0,0.0,0.0,0.0,0.42215028405189514,0.10810810810810811
State_1,consensus_state,703,4,10,gene_CTSK,703,0.12952894876428891,0.0,0.0,0.0,0.0,0.726813811063766,0.24182076813655762
State_1,consensus_state,703,4,10,gene_EMX2,703,0.0014822752576634012,0.0,0.0,0.0,0.0,0.0,0.005689900426742532
State_1,consensus_state,703,4,10,gene_HOXA11,703,0.0017146767775500314,0.0,0.0,0.0,0.0,0.0,0.004267425320056899
State_1,consensus_state,703,4,10,gene_ESR1,703,0.8155138865749154,0.7619224190711975,0.0,0.40022529661655426,1.2074203491210938,1.865812528133392,0.8378378378378378
State_10,consensus_state,4,1,1,melanocytic_identity,4,0.563281461596489,0.5220253020524979,0.37594661116600037,0.3908446729183197,0.6944620907306671,0.808374935388565,1.0
State_10,consensus_state,4,1,1,contractile_marker_panel,4,0.4028359688818455,0.23649878054857254,0.01721247956156731,0.08606239780783653,0.5532723516225815,1.0213315218687056,0.75
State_10,consensus_state,4,1,1,VEGFD_CTSK_panel,4,0.12399972230195999,0.14901665598154068,0.01888627633452416,0.09443138167262077,0.1785849966108799,0.19408946111798286,0.75
State_10,consensus_state,4,1,1,ESR1_hormone_marker,4,0.7866816967725754,0.9995914995670319,0.13485954701900485,0.6742977350950241,1.1119754612445831,1.1404301226139069,0.75
State_10,consensus_state,4,1,1,HOX_PBX_markers,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_10,consensus_state,4,1,1,CORE1,4,0.42995450273156166,0.23621851950883865,0.017702031880617145,0.08851015940308571,0.5776628628373146,1.113437350094318,0.75
State_10,consensus_state,4,1,1,CORE2,4,0.41276734322309494,0.37986183166503906,0.3221348196268082,0.3391276150941849,0.4535015597939491,0.5494675830006599,1.0
State_10,consensus_state,4,1,1,CORE3_identity,4,0.479984812438488,0.5353066176176071,0.2435799017548561,0.38309044390916824,0.6322009861469269,0.6389391958713532,1.0
State_10,consensus_state,4,1,1,LAM_myogenic_contractile,4,0.4680328816175461,0.3210977017879486,0.02630834430456162,0.13154172152280807,0.6575888618826866,1.1154666706919667,0.75
State_10,consensus_state,4,1,1,ECM_remodeling,4,0.395983574911952,0.44198863208293915,0.12711291871964933,0.334230599924922,0.5037416070699692,0.6004471510648727,1.0
State_10,consensus_state,4,1,1,mTOR_translation,4,0.8470489457249641,0.9678839147090912,0.40862443596124653,0.7841773107647896,1.0307555496692657,1.1163044989109039,1.0
State_10,consensus_state,4,1,1,hormone_related,4,0.3818429857492447,0.37411169707775116,0.3153258591890335,0.34337808191776276,0.4125766009092331,0.4591839164495468,1.0
