patient_id,state15_present,state15_cells,state15_fraction_of_consensus,dataset_count,author_style_cells,LAMCORE_777_mean,LAMCORE_777_median,gene_PMEL_mean,gene_PMEL_median,gene_MLANA_mean,gene_MLANA_median,gene_MITF_mean,gene_MITF_median,gene_VEGFD_mean,gene_VEGFD_median,gene_CTSK_mean,gene_CTSK_median,CORE1_mean,CORE1_median,CORE2_mean,CORE2_median,CORE3_identity_mean,CORE3_identity_median,contractile_marker_panel_mean,contractile_marker_panel_median
LAM1,True,25,0.3333333333333333,1,0,0.446804860830307,0.4838288128376007,1.9219898653030396,2.0969321727752686,0.12507771492004394,0.0,0.5730376470088959,0.4681585133075714,0.6568714213371277,0.0,3.0304384136199953,3.0148229598999023,1.7708083790540696,1.9613313674926758,1.0217816853523254,0.9998369216918945,1.480098922252655,1.4841253757476807,2.4645705938339235,2.7522711753845215
LAM1110,False,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,
LAM1158,True,10,0.054945054945054944,1,0,0.5091120451688766,0.5178163051605225,2.5048156082630157,2.6133211851119995,0.4251353144645691,0.0,0.779897540807724,0.8077322542667389,0.9979506731033325,0.5704812407493591,3.563601350784302,3.5694234371185303,1.6238578408956528,1.8321029543876648,1.3578256249427796,1.4379189610481262,1.7537896454334259,1.9382744431495667,2.2702098578214644,2.2356395721435547
LAM1163,True,127,0.254,1,0,0.5271588474746765,0.5393519401550293,2.561991008717244,2.6920738220214844,0.03967851916636069,0.0,0.7859999847224378,0.8366230726242065,0.17252351648694886,0.0,3.6818880068035575,3.7916207313537598,2.0648180952691657,2.164323568344116,1.1502329166245273,1.1525075435638428,1.6025434155163802,1.6263644695281982,2.0910365014798997,2.1780245304107666
LAM1164,True,1,0.0013422818791946308,1,0,0.4264962673187256,0.4264962673187256,0.0,0.0,0.0,0.0,0.7242345213890076,0.7242345213890076,1.1398509740829468,1.1398509740829468,1.1398509740829468,1.1398509740829468,1.4209171533584595,1.4209171533584595,0.4660213589668274,0.4660213589668274,0.779664933681488,0.779664933681488,1.845272421836853,1.845272421836853
LAM18,False,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,
LAM2,False,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,
LAM3,True,26,0.015494636471990465,2,0,0.40876573152267015,0.4247192144393921,2.308587120129512,2.4359846115112305,0.2850058743586907,0.0,0.46254440454336315,0.0,0.5688143120362208,0.0,3.299189430016738,3.449615240097046,0.9813924981997564,0.8710224330425262,1.1635371503921657,1.2389395833015442,1.377154847750297,1.4093799591064453,1.05586799291464,0.9823395311832428
LAM32,True,10,0.012315270935960592,2,0,0.5418143600225449,0.5219566524028778,2.402845728397369,2.6573671102523804,0.6917061418294906,0.0,0.7656531274318695,0.6928426623344421,0.454950749874115,0.0,3.4225613355636595,3.7538983821868896,1.3141699731349945,1.2372647523880005,1.2874704033136368,1.4258835315704346,1.6717443823814393,1.694555401802063,1.3714613050222397,1.041960209608078
LAM4,False,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,
LAM44,False,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,
LAM50,True,1,0.001379310344827586,1,0,0.39972415566444397,0.39972415566444397,0.0,0.0,0.0,0.0,1.1974620819091797,1.1974620819091797,0.0,0.0,0.1907481849193573,0.1907481849193573,1.381390929222107,1.381390929222107,0.17352628707885742,0.17352628707885742,0.6194353699684143,0.6194353699684143,1.2160557508468628,1.2160557508468628
