comparison,target_state,comparator_state,feature,n_target,n_comparator,target_median,comparator_median,median_difference,mannwhitney_u,mannwhitney_pvalue
State_15_vs_State_18,State_15,State_18,gene_PMEL,200,174,2.5778037309646606,0.0,2.5778037309646606,33306.5,1.2161532084507865e-59
State_15_vs_State_18,State_15,State_18,gene_MLANA,200,174,0.0,0.0,0.0,19214.0,2.9613569466027203e-05
State_15_vs_State_18,State_15,State_18,gene_MITF,200,174,0.7259965240955353,0.0,0.7259965240955353,23624.5,4.457910834999993e-10
State_15_vs_State_18,State_15,State_18,gene_ACTA2,200,174,3.576776146888733,3.7693912982940674,-0.19261515140533447,15403.0,0.055552678550403224
State_15_vs_State_18,State_15,State_18,gene_ACTG2,200,174,0.0,1.1946932673454285,-1.1946932673454285,10990.0,3.2591076581066335e-11
State_15_vs_State_18,State_15,State_18,gene_MYH11,200,174,2.3027658462524414,2.863903284072876,-0.5611374378204346,11795.0,7.448938585565997e-08
State_15_vs_State_18,State_15,State_18,gene_VEGFD,200,174,0.0,0.0,0.0,21786.0,9.869895955116142e-10
State_15_vs_State_18,State_15,State_18,gene_CTSK,200,174,3.648732900619507,0.7213355004787445,2.9273974001407623,34271.5,3.2559394985453522e-59
State_15_vs_State_18,State_15,State_18,gene_EMX2,200,174,0.4210773855447769,0.0,0.4210773855447769,26999.5,6.400742932034067e-30
State_15_vs_State_18,State_15,State_18,gene_HOXA11,200,174,0.0,0.0,0.0,24273.0,2.5867518246664772e-20
State_15_vs_State_18,State_15,State_18,gene_ESR1,200,174,0.47882020473480225,0.0,0.47882020473480225,26132.0,1.1981265409116897e-23
State_15_vs_State_18,State_15,State_18,melanocytic_identity,200,174,1.1275132894515991,0.0,1.1275132894515991,33613.0,8.406415138895778e-56
State_15_vs_State_18,State_15,State_18,contractile_marker_panel,200,174,2.068992853164673,2.6700748205184937,-0.6010819673538208,11867.0,1.1248911146359884e-07
State_15_vs_State_18,State_15,State_18,VEGFD_CTSK_panel,200,174,1.942033290863037,0.38571830093860626,1.5563149899244308,34259.0,4.94199990810168e-59
State_15_vs_State_18,State_15,State_18,ESR1_hormone_marker,200,174,0.47882020473480225,0.0,0.47882020473480225,26132.0,1.1981265409116897e-23
State_15_vs_State_18,State_15,State_18,CORE1,200,174,2.008028030395508,2.413122057914734,-0.4050940275192261,10478.0,3.1967501577428166e-11
State_15_vs_State_18,State_15,State_18,CORE2,200,174,1.1634118556976318,0.1298021376132965,1.0336097180843353,34555.0,8.397177255822661e-61
State_15_vs_State_18,State_15,State_18,CORE3_identity,200,174,1.6109884977340698,0.6858489811420441,0.9251395165920258,33815.0,8.006228373950281e-56
State_15_vs_State_18,State_15,State_18,HOX_PBX,200,174,0.314716175198555,0.1279253587126732,0.1867908164858818,28495.5,1.5798247514860786e-26
State_15_vs_State_18,State_15,State_18,LAMCORE_777,200,174,0.512529730796814,0.3419233709573746,0.1706063598394394,31911.0,5.171711718904957e-44
State_15_vs_State_18,State_15,State_18,ECM_remodeling,200,174,1.5745034217834473,0.7026925683021545,0.8718108534812927,30184.0,1.5138951348896256e-34
State_15_vs_State_18,State_15,State_18,mTOR_translation,200,174,1.8646366000175476,1.7358545660972595,0.12878203392028809,22247.0,3.3608341615509515e-06
State_15_vs_State_18,State_15,State_18,hormone_related,200,174,0.17859980463981628,0.1443588063120842,0.034240998327732086,20666.0,0.0016601520658903616
State_15_vs_State_18,State_15,State_18,hypoxia_stress,200,174,0.44189926981925964,0.4078329801559448,0.03406628966331482,18571.0,0.2616511930682567
State_15_vs_State_18,State_15,State_18,protease_ECM_niche,200,174,1.0222324132919312,0.34428101778030396,0.6779513955116272,34015.0,3.794829388437296e-57
State_15_vs_State_18,State_15,State_18,ciliated,200,174,0.0,0.00951608270406723,-0.00951608270406723,14001.5,0.00041414608412409886
State_15_vs_State_18,State_15,State_18,AT2,200,174,0.3526631295681,0.14533885568380356,0.20732427388429642,24567.5,3.478622172676155e-12
State_15_vs_State_18,State_15,State_18,macrophage,200,174,0.380711168050766,0.11272474750876427,0.2679864205420017,30990.0,6.696803924845456e-39
State_15_vs_State_18,State_15,State_18,endothelial,200,174,0.0,0.0,0.0,16566.0,0.37450936140405866
State_15_vs_State_18,State_15,State_18,fibroblast,200,174,1.1730241179466248,0.48428580164909363,0.6887383162975311,29470.0,5.594743550932316e-31
State_15_vs_State_18,State_15,State_18,mesothelial,200,174,0.0860767513513565,0.0,0.0860767513513565,27331.0,6.974216929586425e-29
State_15_vs_State_18,State_15,State_18,pericyte_VSMC,200,174,1.87710839509964,2.3287287950515747,-0.4516203999519348,8420.0,7.262755624358397e-18
State_15_vs_State_20,State_15,State_20,gene_PMEL,200,756,2.5778037309646606,0.0,2.5778037309646606,145446.0,1.863659151267528e-182
State_15_vs_State_20,State_15,State_20,gene_MLANA,200,756,0.0,0.0,0.0,83427.0,4.039395826578984e-15
State_15_vs_State_20,State_15,State_20,gene_MITF,200,756,0.7259965240955353,0.5571820735931396,0.16881445050239563,81384.0,0.08179020136017841
State_15_vs_State_20,State_15,State_20,gene_ACTA2,200,756,3.576776146888733,0.7661617696285248,2.810614377260208,137352.5,2.1275795761286693e-74
State_15_vs_State_20,State_15,State_20,gene_ACTG2,200,756,0.0,0.0,0.0,98157.0,2.569784602970696e-46
State_15_vs_State_20,State_15,State_20,gene_MYH11,200,756,2.3027658462524414,0.0,2.3027658462524414,138028.0,1.4607729347718158e-133
State_15_vs_State_20,State_15,State_20,gene_VEGFD,200,756,0.0,0.0,0.0,78639.0,0.2568466903756862
State_15_vs_State_20,State_15,State_20,gene_CTSK,200,756,3.648732900619507,1.2113310098648071,2.4374018907546997,145934.5,1.6408146636972542e-92
State_15_vs_State_20,State_15,State_20,gene_EMX2,200,756,0.4210773855447769,0.0,0.4210773855447769,117558.0,1.3068224383000493e-104
State_15_vs_State_20,State_15,State_20,gene_HOXA11,200,756,0.0,0.0,0.0,105331.5,4.243257022802511e-71
State_15_vs_State_20,State_15,State_20,gene_ESR1,200,756,0.47882020473480225,0.0,0.47882020473480225,83179.5,0.014013751424289931
State_15_vs_State_20,State_15,State_20,melanocytic_identity,200,756,1.1275132894515991,0.19517380744218826,0.9323394820094109,142085.0,2.4919003664566887e-86
State_15_vs_State_20,State_15,State_20,contractile_marker_panel,200,756,2.068992853164673,0.2755439281463623,1.7934489250183105,141141.0,7.561193518416381e-83
State_15_vs_State_20,State_15,State_20,VEGFD_CTSK_panel,200,756,1.942033290863037,0.7211294770240784,1.2209038138389587,142966.0,4.442823794194594e-84
State_15_vs_State_20,State_15,State_20,ESR1_hormone_marker,200,756,0.47882020473480225,0.0,0.47882020473480225,83179.5,0.014013751424289931
