patient_id,group,cells,dataset_count,total_umi,feature,pseudobulk_log1p_score
LAM1,State_15,25,1,263938.0,melanocytic_identity,1.0968762373683172
LAM1,State_15,25,1,263938.0,contractile_marker_panel,2.9708806888941326
LAM1,State_15,25,1,263938.0,VEGFD_CTSK_panel,2.187120882422385
LAM1,State_15,25,1,263938.0,ESR1_hormone_marker,0.5199706859618191
LAM1,State_15,25,1,263938.0,HOX_PBX_markers,0.760343286116472
LAM1,State_15,25,1,263938.0,CORE1,2.188201937517738
LAM1,State_15,25,1,263938.0,CORE2,1.2057593035579068
LAM1,State_15,25,1,263938.0,CORE3_identity,1.7596352936389092
LAM1,State_15,25,1,263938.0,LAM_myogenic_contractile,3.0794923623751167
LAM1,State_15,25,1,263938.0,ECM_remodeling,0.9726118818454839
LAM1,State_15,25,1,263938.0,mTOR_translation,1.7014449781205598
LAM1,State_15,25,1,263938.0,hormone_related,0.16614815241879402
LAM1,State_15,25,1,263938.0,hypoxia_stress,0.2422469274597276
LAM1,State_15,25,1,263938.0,protease_ECM_niche,1.060272733742663
LAM1,State_15,25,1,263938.0,HOX_PBX,0.3664744569252727
LAM1,State_15,25,1,263938.0,normal_lung_interstitial,1.0382134293051015
LAM1,State_15,25,1,263938.0,LAMCORE_777,0.5693240561530291
LAM1,State_15,25,1,263938.0,ciliated,0.028441993005917196
LAM1,State_15,25,1,263938.0,AT2,2.4495097735364375
LAM1,State_15,25,1,263938.0,macrophage,1.3305254045411414
LAM1,State_15,25,1,263938.0,endothelial,0.04155067758095399
LAM1,State_15,25,1,263938.0,fibroblast,0.8607907541466507
LAM1,State_15,25,1,263938.0,mesothelial,0.05766239759875597
LAM1,State_15,25,1,263938.0,pericyte_VSMC,2.07055064686953
LAM1,State_15,25,1,263938.0,gene_PMEL,2.3594931220824353
LAM1,State_15,25,1,263938.0,gene_MLANA,0.2647471814911756
LAM1,State_15,25,1,263938.0,gene_MITF,0.6663884085313408
LAM1,State_15,25,1,263938.0,gene_ACTA2,4.1326058925608224
LAM1,State_15,25,1,263938.0,gene_ACTG2,2.34143516675808
LAM1,State_15,25,1,263938.0,gene_MYH11,2.438601007363495
LAM1,State_15,25,1,263938.0,gene_VEGFD,1.1261699689452702
LAM1,State_15,25,1,263938.0,gene_CTSK,3.2480717958994996
LAM1,State_15,25,1,263938.0,gene_ESR1,0.5199706859618191
LAM1,State_15,25,1,263938.0,gene_EMX2,1.3158486598568326
LAM1,State_15,25,1,263938.0,gene_HOXA11,0.20483791237611126
LAM1158,State_15,10,1,148271.0,melanocytic_identity,1.612231686317039
LAM1158,State_15,10,1,148271.0,contractile_marker_panel,3.000340780492077
LAM1158,State_15,10,1,148271.0,VEGFD_CTSK_panel,2.6597955119945476
LAM1158,State_15,10,1,148271.0,ESR1_hormone_marker,0.6295537785460434
LAM1158,State_15,10,1,148271.0,HOX_PBX_markers,0.3566038673403285
LAM1158,State_15,10,1,148271.0,CORE1,2.158059904697497
LAM1158,State_15,10,1,148271.0,CORE2,1.6110520629269145
LAM1158,State_15,10,1,148271.0,CORE3_identity,2.136590919727848
LAM1158,State_15,10,1,148271.0,LAM_myogenic_contractile,2.93325134493475
LAM1158,State_15,10,1,148271.0,ECM_remodeling,1.5637909923824338
LAM1158,State_15,10,1,148271.0,mTOR_translation,1.8145794669650888
LAM1158,State_15,10,1,148271.0,hormone_related,0.3295207572736212
LAM1158,State_15,10,1,148271.0,hypoxia_stress,0.616695479794235
LAM1158,State_15,10,1,148271.0,protease_ECM_niche,1.0588592378174426
LAM1158,State_15,10,1,148271.0,HOX_PBX,0.3561733089842236
LAM1158,State_15,10,1,148271.0,normal_lung_interstitial,1.3963112315000985
LAM1158,State_15,10,1,148271.0,LAMCORE_777,0.6351628328323555
LAM1158,State_15,10,1,148271.0,ciliated,0.02897613022198555
LAM1158,State_15,10,1,148271.0,AT2,0.1702555240758279
LAM1158,State_15,10,1,148271.0,macrophage,0.3594010748853747
LAM1158,State_15,10,1,148271.0,endothelial,0.030410780696547714
LAM1158,State_15,10,1,148271.0,fibroblast,1.2684255957880095
LAM1158,State_15,10,1,148271.0,mesothelial,0.13535929657084184
LAM1158,State_15,10,1,148271.0,pericyte_VSMC,2.029021563524312
LAM1158,State_15,10,1,148271.0,gene_PMEL,3.1021119902965477
LAM1158,State_15,10,1,148271.0,gene_MLANA,0.9097773997334917
LAM1158,State_15,10,1,148271.0,gene_MITF,0.8248056689210772
LAM1158,State_15,10,1,148271.0,gene_ACTA2,4.1702965766086795
LAM1158,State_15,10,1,148271.0,gene_ACTG2,2.6687111570681834
LAM1158,State_15,10,1,148271.0,gene_MYH11,2.1620146077993687
LAM1158,State_15,10,1,148271.0,gene_VEGFD,1.4752671383435627
LAM1158,State_15,10,1,148271.0,gene_CTSK,3.8443238856455326
LAM1158,State_15,10,1,148271.0,gene_ESR1,0.6295537785460434
LAM1158,State_15,10,1,148271.0,gene_EMX2,0.4743670008973329
LAM1158,State_15,10,1,148271.0,gene_HOXA11,0.2388407337833241
LAM1163,State_15,127,1,1802380.0,melanocytic_identity,1.2582526611553693
LAM1163,State_15,127,1,1802380.0,contractile_marker_panel,2.497783305321215
LAM1163,State_15,127,1,1802380.0,VEGFD_CTSK_panel,2.051803602469588
LAM1163,State_15,127,1,1802380.0,ESR1_hormone_marker,0.5526850852353493
LAM1163,State_15,127,1,1802380.0,HOX_PBX_markers,0.46940142108484795
LAM1163,State_15,127,1,1802380.0,CORE1,2.3894673448118597
LAM1163,State_15,127,1,1802380.0,CORE2,1.245876466096361
LAM1163,State_15,127,1,1802380.0,CORE3_identity,1.762411089374763
LAM1163,State_15,127,1,1802380.0,LAM_myogenic_contractile,3.1106549501676923
LAM1163,State_15,127,1,1802380.0,ECM_remodeling,1.814993624178972
LAM1163,State_15,127,1,1802380.0,mTOR_translation,2.012064744623768
LAM1163,State_15,127,1,1802380.0,hormone_related,0.2640882434919013
LAM1163,State_15,127,1,1802380.0,hypoxia_stress,0.6875965816995806
LAM1163,State_15,127,1,1802380.0,protease_ECM_niche,1.1680887141047298
LAM1163,State_15,127,1,1802380.0,HOX_PBX,0.3567962030643652
LAM1163,State_15,127,1,1802380.0,normal_lung_interstitial,1.5444579601731772
LAM1163,State_15,127,1,1802380.0,LAMCORE_777,0.6384071178781854
LAM1163,State_15,127,1,1802380.0,ciliated,0.030986898427604846
LAM1163,State_15,127,1,1802380.0,AT2,1.9825438258675454
LAM1163,State_15,127,1,1802380.0,macrophage,0.3993460433746528
LAM1163,State_15,127,1,1802380.0,endothelial,0.06714407401478766
LAM1163,State_15,127,1,1802380.0,fibroblast,1.352341447993796
LAM1163,State_15,127,1,1802380.0,mesothelial,0.14208539001428908
LAM1163,State_15,127,1,1802380.0,pericyte_VSMC,2.169073543788109
LAM1163,State_15,127,1,1802380.0,gene_PMEL,2.8247548213546447
LAM1163,State_15,127,1,1802380.0,gene_MLANA,0.043428919881881176
LAM1163,State_15,127,1,1802380.0,gene_MITF,0.9065742422295819
LAM1163,State_15,127,1,1802380.0,gene_ACTA2,3.905827351982707
