patient_id,group,cells,dataset_count,total_umi,feature,pseudobulk_log1p_score
LAM1,State_15,25,1,263938.0,melanocytic_identity,1.0968762373683172
LAM1,State_15,25,1,263938.0,contractile_marker_panel,2.9708806888941326
LAM1,State_15,25,1,263938.0,VEGFD_CTSK_panel,2.187120882422385
LAM1,State_15,25,1,263938.0,ESR1_hormone_marker,0.5199706859618191
LAM1,State_15,25,1,263938.0,HOX_PBX_markers,0.760343286116472
LAM1,State_15,25,1,263938.0,CORE1,2.188201937517738
LAM1,State_15,25,1,263938.0,CORE2,1.2057593035579068
LAM1,State_15,25,1,263938.0,CORE3_identity,1.7596352936389092
LAM1,State_15,25,1,263938.0,LAM_myogenic_contractile,3.0794923623751167
LAM1,State_15,25,1,263938.0,ECM_remodeling,0.9726118818454839
LAM1,State_15,25,1,263938.0,mTOR_translation,1.7014449781205598
LAM1,State_15,25,1,263938.0,hormone_related,0.16614815241879402
LAM1,State_15,25,1,263938.0,hypoxia_stress,0.2422469274597276
LAM1,State_15,25,1,263938.0,protease_ECM_niche,1.060272733742663
LAM1,State_15,25,1,263938.0,HOX_PBX,0.3664744569252727
LAM1,State_15,25,1,263938.0,normal_lung_interstitial,1.0382134293051015
LAM1,State_15,25,1,263938.0,LAMCORE_777,0.5693240561530291
LAM1,State_15,25,1,263938.0,ciliated,0.028441993005917196
LAM1,State_15,25,1,263938.0,AT2,2.4495097735364375
LAM1,State_15,25,1,263938.0,macrophage,1.3305254045411414
LAM1,State_15,25,1,263938.0,endothelial,0.04155067758095399
LAM1,State_15,25,1,263938.0,fibroblast,0.8607907541466507
LAM1,State_15,25,1,263938.0,mesothelial,0.05766239759875597
LAM1,State_15,25,1,263938.0,pericyte_VSMC,2.07055064686953
LAM1,State_15,25,1,263938.0,gene_PMEL,2.3594931220824353
LAM1,State_15,25,1,263938.0,gene_MLANA,0.2647471814911756
LAM1,State_15,25,1,263938.0,gene_MITF,0.6663884085313408
LAM1,State_15,25,1,263938.0,gene_ACTA2,4.1326058925608224
LAM1,State_15,25,1,263938.0,gene_ACTG2,2.34143516675808
LAM1,State_15,25,1,263938.0,gene_MYH11,2.438601007363495
LAM1,State_15,25,1,263938.0,gene_VEGFD,1.1261699689452702
LAM1,State_15,25,1,263938.0,gene_CTSK,3.2480717958994996
LAM1,State_15,25,1,263938.0,gene_ESR1,0.5199706859618191
LAM1,State_15,25,1,263938.0,gene_EMX2,1.3158486598568326
LAM1,State_15,25,1,263938.0,gene_HOXA11,0.20483791237611126
LAM1,State_20,4,1,16309.0,melanocytic_identity,0.15939799443108163
LAM1,State_20,4,1,16309.0,contractile_marker_panel,0.7935070115912577
LAM1,State_20,4,1,16309.0,VEGFD_CTSK_panel,1.061603632331074
LAM1,State_20,4,1,16309.0,ESR1_hormone_marker,0.0
LAM1,State_20,4,1,16309.0,HOX_PBX_markers,0.0
LAM1,State_20,4,1,16309.0,CORE1,0.9782813028112207
LAM1,State_20,4,1,16309.0,CORE2,0.547155739707712
LAM1,State_20,4,1,16309.0,CORE3_identity,0.7117031832470238
LAM1,State_20,4,1,16309.0,LAM_myogenic_contractile,1.4798463564363542
LAM1,State_20,4,1,16309.0,ECM_remodeling,1.7783023190635419
LAM1,State_20,4,1,16309.0,mTOR_translation,2.1183893290435094
LAM1,State_20,4,1,16309.0,hormone_related,0.06831342618474927
LAM1,State_20,4,1,16309.0,hypoxia_stress,0.28875869897026807
LAM1,State_20,4,1,16309.0,protease_ECM_niche,0.8128277695169213
LAM1,State_20,4,1,16309.0,HOX_PBX,0.059774247911655615
LAM1,State_20,4,1,16309.0,normal_lung_interstitial,2.2853007357785193
LAM1,State_20,4,1,16309.0,LAMCORE_777,0.3981537212681369
LAM1,State_20,4,1,16309.0,ciliated,0.05335656944998638
LAM1,State_20,4,1,16309.0,AT2,1.060886251568606
LAM1,State_20,4,1,16309.0,macrophage,0.42577255363033706
LAM1,State_20,4,1,16309.0,endothelial,0.15218132072696874
LAM1,State_20,4,1,16309.0,fibroblast,2.2746701408011987
LAM1,State_20,4,1,16309.0,mesothelial,0.0
LAM1,State_20,4,1,16309.0,pericyte_VSMC,1.0898256774241557
LAM1,State_20,4,1,16309.0,gene_PMEL,0.0
LAM1,State_20,4,1,16309.0,gene_MLANA,0.0
LAM1,State_20,4,1,16309.0,gene_MITF,0.4781939832932449
LAM1,State_20,4,1,16309.0,gene_ACTA2,2.380521034773773
LAM1,State_20,4,1,16309.0,gene_ACTG2,0.0
LAM1,State_20,4,1,16309.0,gene_MYH11,0.0
LAM1,State_20,4,1,16309.0,gene_VEGFD,0.0
LAM1,State_20,4,1,16309.0,gene_CTSK,2.123207264662148
LAM1,State_20,4,1,16309.0,gene_ESR1,0.0
LAM1,State_20,4,1,16309.0,gene_EMX2,0.0
LAM1,State_20,4,1,16309.0,gene_HOXA11,0.0
LAM1,State_7,8,1,116852.0,melanocytic_identity,0.10354332528927578
LAM1,State_7,8,1,116852.0,contractile_marker_panel,0.4362776352907747
LAM1,State_7,8,1,116852.0,VEGFD_CTSK_panel,0.17809950757051093
LAM1,State_7,8,1,116852.0,ESR1_hormone_marker,0.08211287577550243
LAM1,State_7,8,1,116852.0,HOX_PBX_markers,0.0
LAM1,State_7,8,1,116852.0,CORE1,0.28965868222710706
LAM1,State_7,8,1,116852.0,CORE2,0.17166953596336332
LAM1,State_7,8,1,116852.0,CORE3_identity,0.24018105544125462
LAM1,State_7,8,1,116852.0,LAM_myogenic_contractile,0.47105522454023524
LAM1,State_7,8,1,116852.0,ECM_remodeling,0.11019242465490478
LAM1,State_7,8,1,116852.0,mTOR_translation,1.9672058050678074
LAM1,State_7,8,1,116852.0,hormone_related,0.05610612166333282
LAM1,State_7,8,1,116852.0,hypoxia_stress,0.20645005367385152
LAM1,State_7,8,1,116852.0,protease_ECM_niche,0.5499911858073451
LAM1,State_7,8,1,116852.0,HOX_PBX,0.049092856455416216
LAM1,State_7,8,1,116852.0,normal_lung_interstitial,0.15253448139788284
LAM1,State_7,8,1,116852.0,LAMCORE_777,0.09904064054590442
LAM1,State_7,8,1,116852.0,ciliated,0.04766403175444508
LAM1,State_7,8,1,116852.0,AT2,4.626113945357085
LAM1,State_7,8,1,116852.0,macrophage,1.541005153420003
LAM1,State_7,8,1,116852.0,endothelial,0.03159837462446832
LAM1,State_7,8,1,116852.0,fibroblast,0.11093416828936933
LAM1,State_7,8,1,116852.0,mesothelial,0.10684011285133051
LAM1,State_7,8,1,116852.0,pericyte_VSMC,0.31403681636015685
LAM1,State_7,8,1,116852.0,gene_PMEL,0.22851710009232487
LAM1,State_7,8,1,116852.0,gene_MLANA,0.0
LAM1,State_7,8,1,116852.0,gene_MITF,0.08211287577550243
LAM1,State_7,8,1,116852.0,gene_ACTA2,0.9323255213044304
LAM1,State_7,8,1,116852.0,gene_ACTG2,0.2943945087923912
LAM1,State_7,8,1,116852.0,gene_MYH11,0.08211287577550243
LAM1,State_7,8,1,116852.0,gene_VEGFD,0.0
LAM1,State_7,8,1,116852.0,gene_CTSK,0.35619901514102187
LAM1,State_7,8,1,116852.0,gene_ESR1,0.08211287577550243
