removed_patient,target_group,comparator_group,feature,target_cells,comparator_cells,target_mean,comparator_mean,target_median,comparator_median,median_difference,mannwhitney_u,mannwhitney_pvalue
LAM1163,State_15_without_LAM1163,State_18,LAMCORE_777,73,153,0.4538837673321162,0.34534170882764204,0.4682636559009552,0.3437759280204773,0.1244877278804779,9403.0,9.875055139403899e-17
LAM1163,State_15_without_LAM1163,State_20,LAMCORE_777,73,702,0.4538837673321162,0.34231502373843453,0.4682636559009552,0.34376464784145355,0.12449900805950165,43122.0,7.089617223894731e-22
LAM1163,State_15_without_LAM1163,State_12,LAMCORE_777,73,577,0.4538837673321162,0.24993379105470004,0.4682636559009552,0.23604416847229004,0.23221948742866516,39938.0,8.709509861531388e-36
LAM1163,State_15_without_LAM1163,State_7,LAMCORE_777,73,521,0.4538837673321162,0.1720417960405693,0.4682636559009552,0.1724860668182373,0.2957775890827179,37581.0,1.2189314695405802e-41
LAM1163,State_15_without_LAM1163,State_5,LAMCORE_777,73,853,0.4538837673321162,0.05148298993208833,0.4682636559009552,0.045958902686834335,0.42230475321412086,62259.0,1.042978753442589e-45
LAM1163,State_15_without_LAM1163,State_18,CORE1,73,153,1.396835625375787,2.2512010565770217,1.4209171533584595,2.3594443798065186,-0.9385272264480591,2258.0,4.624385038198797e-13
LAM1163,State_15_without_LAM1163,State_20,CORE1,73,702,1.396835625375787,0.48442871631932394,1.4209171533584595,0.4173498898744583,1.0035672634840012,43053.0,1.003101375746406e-21
LAM1163,State_15_without_LAM1163,State_12,CORE1,73,577,1.396835625375787,0.2241632593957065,1.4209171533584595,0.16873125731945038,1.252185896039009,39529.0,1.8479832826430302e-34
LAM1163,State_15_without_LAM1163,State_7,CORE1,73,521,1.396835625375787,0.06518106020257707,1.4209171533584595,0.0,1.4209171533584595,37674.0,1.9995848405006522e-46
LAM1163,State_15_without_LAM1163,State_5,CORE1,73,853,1.396835625375787,0.08613820362875428,1.4209171533584595,0.06971707195043564,1.3512000814080238,61765.0,1.0458034592932547e-44
LAM1163,State_15_without_LAM1163,State_18,CORE2,73,153,1.135465972227593,0.15237408664588833,1.1945334672927856,0.1251804083585739,1.0693530589342117,11075.0,6.989190186606962e-33
LAM1163,State_15_without_LAM1163,State_20,CORE2,73,702,1.135465972227593,0.3861353335705748,1.1945334672927856,0.3740762323141098,0.8204572349786758,49027.0,7.94429396218226e-38
LAM1163,State_15_without_LAM1163,State_12,CORE2,73,577,1.135465972227593,0.2924912177684815,1.1945334672927856,0.26956605911254883,0.9249674081802368,41102.0,4.068195045504185e-40
LAM1163,State_15_without_LAM1163,State_7,CORE2,73,521,1.135465972227593,0.18914774272612325,1.1945334672927856,0.17370514571666718,1.0208283215761185,37687.0,4.254125662926311e-42
LAM1163,State_15_without_LAM1163,State_5,CORE2,73,853,1.135465972227593,0.3254970119870841,1.1945334672927856,0.30779486894607544,0.8867385983467102,60764.0,1.3788627400973165e-41
LAM1163,State_15_without_LAM1163,State_18,CORE3_identity,73,153,1.485793694241406,0.6527014908447765,1.5784753561019897,0.676222026348114,0.9022533297538757,10675.0,1.6851697813129334e-28
LAM1163,State_15_without_LAM1163,State_20,CORE3_identity,73,702,1.485793694241406,0.5063996974092263,1.5784753561019897,0.48409146070480347,1.0943838953971863,50382.0,3.9783480159182345e-42
LAM1163,State_15_without_LAM1163,State_12,CORE3_identity,73,577,1.485793694241406,0.3646270423042919,1.5784753561019897,0.34174248576164246,1.2367328703403473,41919.0,2.6117838034684635e-43
LAM1163,State_15_without_LAM1163,State_7,CORE3_identity,73,521,1.485793694241406,0.28749435682800706,1.5784753561019897,0.26627472043037415,1.3122006356716156,38000.0,1.8401303913423974e-43
LAM1163,State_15_without_LAM1163,State_5,CORE3_identity,73,853,1.485793694241406,0.22796441907235634,1.5784753561019897,0.20336265861988068,1.375112697482109,62173.0,1.8230166053492747e-45
LAM1163,State_15_without_LAM1163,State_18,gene_PMEL,73,153,2.152734590719824,0.034029633391137216,2.356518268585205,0.0,2.356518268585205,10180.0,2.7982975570034063e-36
LAM1163,State_15_without_LAM1163,State_20,gene_PMEL,73,702,2.152734590719824,0.007355012615182122,2.356518268585205,0.0,2.356518268585205,46981.0,5.158091964749826e-128
LAM1163,State_15_without_LAM1163,State_12,gene_PMEL,73,577,2.152734590719824,0.045426266832822734,2.356518268585205,0.0,2.356518268585205,38336.0,2.883766277343169e-75
LAM1163,State_15_without_LAM1163,State_7,gene_PMEL,73,521,2.152734590719824,0.05709338445581081,2.356518268585205,0.0,2.356518268585205,34578.0,2.9909440687697676e-68
LAM1163,State_15_without_LAM1163,State_5,gene_PMEL,73,853,2.152734590719824,0.032524965065864435,2.356518268585205,0.0,2.356518268585205,56749.0,1.0424668688508589e-96
LAM1163,State_15_without_LAM1163,State_18,gene_MLANA,73,153,0.29733575574339255,0.006675229353063247,0.0,0.0,0.0,6774.0,1.543775965239617e-08
LAM1163,State_15_without_LAM1163,State_20,gene_MLANA,73,702,0.29733575574339255,0.006476921743137545,0.0,0.0,0.0,31069.5,2.0158189906819624e-26
LAM1163,State_15_without_LAM1163,State_12,gene_MLANA,73,577,0.29733575574339255,0.047595747641612174,0.0,0.0,0.0,24341.5,1.1402689842256784e-05
