patient,n_cells,distance_spearman_LAMCORE_777,distance_spearman_p_LAMCORE_777,distance_spearman_CORE1,distance_spearman_p_CORE1,distance_spearman_CORE3,distance_spearman_p_CORE3,distance_spearman_melanocytic,distance_spearman_p_melanocytic,distance_spearman_lam_support,distance_spearman_p_lam_support,distance_spearman_myogenic,distance_spearman_p_myogenic,distance_spearman_HOX_PBX,distance_spearman_p_HOX_PBX,distance_spearman_macrophage,distance_spearman_p_macrophage,distance_spearman_T_NK,distance_spearman_p_T_NK,distance_spearman_AT2,distance_spearman_p_AT2,distance_spearman_endothelial,distance_spearman_p_endothelial,distance_spearman_lymphatic_endothelial,distance_spearman_p_lymphatic_endothelial,distance_spearman_fibroblast,distance_spearman_p_fibroblast,distance_spearman_pericyte_VSMC,distance_spearman_p_pericyte_VSMC,distance_spearman_mesothelial,distance_spearman_p_mesothelial,distance_spearman_ciliated,distance_spearman_p_ciliated
LAM1,761,-0.04154445636533536,0.25234788577118566,-0.2935577434744555,1.3659745522559403e-16,-0.20930307425162506,5.573598774634153e-09,-0.18117747589954053,4.866967449522218e-07,-0.038987212576234546,0.2827551830480621,-0.2473805685379156,4.486862177529078e-12,-0.04732348651614827,0.19221271091649922,-0.21107109328870058,4.116395533475933e-09,-0.02949935417386466,0.41643878590196975,0.09072268664732455,0.012288566019828171,-0.07557596676652646,0.037122847465733314,0.008294901482540676,0.8192942222078922,-0.39025299042643585,4.321395202103157e-29,-0.2576445453553078,5.277321930062023e-13,0.1394248486136199,0.0001139705002924267,0.07708595434381026,0.03348831150697388
LAM1110,555,0.0854604520111104,0.044171630885599514,0.020023137663408335,0.6378567579429031,-0.21379465789571084,3.691534619734327e-07,-0.12809956218339735,0.002498798660076898,-0.013791072972542768,0.7458024842517376,-0.01967997519010823,0.6436303277167362,0.22357535037971804,1.0221966318081469e-07,-0.27090141070180845,8.620358705880059e-11,-0.17391663100191349,3.798592372086812e-05,-0.09258048207203406,0.029196759239193546,-0.19038759499830576,6.287089452413351e-06,0.219095335490014,1.8543086958343417e-07,-0.15987502138135423,0.00015540519322370636,0.02007461412883413,0.6369925627077719,0.346985267012415,3.7980461961474e-17,0.15012926058386986,0.0003867407014451201
LAM1158,775,-0.3029479405059819,6.490502453158548e-18,-0.38917980715133316,1.97762468130992e-29,-0.48843600112199115,1.040352557859209e-47,-0.023635384652205355,0.5111738468028855,-0.2596677608450059,2.0807198257122193e-13,-0.2976903266150376,2.5252370585760538e-17,-0.1106778159778184,0.0020310691900912742,0.06502217255058201,0.07043023529550196,0.18283785785576057,2.974796282723403e-07,0.033509478597959254,0.35153278546633004,0.15725305339865064,1.0922041119318733e-05,-0.1538063811753662,1.704199071087191e-05,-0.3936943238565269,3.89596296761116e-30,-0.3905228857895225,1.2228993425114226e-29,0.07600189686284299,0.03439174021385872,0.07159827454922942,0.04631051724044835
LAM1163,2094,-0.2537871743236348,3.8966204527567993e-32,-0.3240577481533713,2.1345984617680533e-52,-0.3929996687280432,2.719352782789564e-78,-0.19231480190963093,6.800373218987433e-19,-0.2764062710094658,4.938127069589363e-38,-0.37001778118166484,6.096622509181136e-69,-0.10105209506186917,3.599318859146003e-06,-0.14985033141035398,5.499720048943751e-12,0.06687822445762852,0.002198891786896879,-0.15651010149175001,5.929665382873362e-13,0.18346749636861595,2.6185969499960666e-17,-0.02917788955559164,0.1819829792084851,-0.14976867656379114,5.64855306309712e-12,-0.34056438823638235,5.07084097867152e-58,0.10574612559125418,1.2365967967610627e-06,0.07411929784385898,0.0006878881343604341
LAM1164,4313,-0.135292191360156,4.514425838490333e-19,-0.1948903467496864,3.4951380139553344e-38,-0.18422962020339526,3.1063377658333706e-34,0.11900964912741661,4.455932400681642e-15,-0.2094384320413923,5.903422432789736e-44,-0.10274535269137541,1.3461361100984085e-11,-0.009071159043357284,0.5514600224349303,-0.07024835210168512,3.8779489090149095e-06,0.028767185528759866,0.05888068258339935,0.07631655809919927,5.225660766487799e-07,-0.010177338272674733,0.5040031748786277,0.03408474031765428,0.025190845228740346,-0.32952607512422716,9.134040524993619e-110,-0.19708526829838183,5.0244287041891966e-39,0.0935240767581944,7.566807315191922e-10,0.2064502208426839,9.845532412464712e-43
LAM18,705,-0.3728305598325489,1.1381591080271796e-24,-0.4396235323855258,1.1165418848277718e-34,-0.5726852671941944,1.1133018381664517e-62,0.1863645610325808,6.252130323166118e-07,-0.13887966472176116,0.00021653090125908544,-0.42409556137342225,3.804161342764364e-32,-0.18178160548067537,1.1821463134460925e-06,0.212420836717628,1.2317285331006068e-08,0.04220492922241455,0.26308531855252043,0.0751536285474096,0.04607042794508272,0.2227571200717239,2.2395742516688965e-09,0.07000352401997921,0.06321116746276734,-0.37469368407942344,6.411353745791332e-25,-0.4585476336997141,6.014044200821244e-38,0.055739217665265114,0.13927348728344247,-0.04401524450638786,0.24313872761644897
LAM2,1509,0.21314325650432778,5.800112600939765e-17,0.03755113316516233,0.14483748947453454,-0.03851331952353411,0.1348107006285293,-0.02132891398992117,0.4077003099675966,-0.05508591561683909,0.03237815710368221,0.06696625888389701,0.009264759471227261,0.1011547506872808,8.275233910764225e-05,-0.29170078340713357,5.542059088054818e-31,-0.056952812011574566,0.026942988294493698,-0.12243690415574031,1.8406029632433247e-06,0.03042094048424816,0.23759425306756532,0.04548804814872431,0.07731670397180837,-0.07813807445039693,0.0023857359668653577,0.0484306308416495,0.05998910290380198,0.1321488371714554,2.580138497329178e-07,0.08902470290271905,0.000535678032957477
LAM3,4956,0.24753628034354105,4.3446181500560066e-70,-0.15859599905884642,2.797479304159973e-29,-0.0971267645187524,7.27766933241618e-12,0.05029208578108238,0.0003973254908673071,-0.02207296825271225,0.1202538005593883,-0.24543048058132247,6.770098705158076e-69,0.2975945627770972,6.658925604095658e-102,-0.2903437079536404,7.143592117082502e-97,-0.13586609219781023,7.470593552812694e-22,-0.41851339171557717,1.9437043846822362e-209,0.07532685201553407,1.1014918401279046e-07,0.06374843892479472,7.080502622260394e-06,-0.24558800933412295,5.517883770961391e-69,-0.19219597031499933,1.899189676078705e-42,0.3590369991707197,1.091029114307904e-150,0.31827230708373666,4.548419379390878e-117
LAM32,3543,-0.455318512893271,6.703432887365866e-181,-0.31092619192121845,2.85314233091225e-80,-0.4610914723222695,4.697430576552918e-186,-0.015251171600701986,0.364126839933714,-0.043253754220558355,0.010027073072569016,-0.2623353419015177,7.604042131182193e-57,-0.15839790584116006,2.4251091031531757e-21,0.15011136682746273,2.637621037958603e-19,0.1292528820650253,1.134146014588766e-14,-0.06314364497360413,0.00016928088870007052,0.21349388329973176,8.40548966048583e-38,0.06279340894078286,0.00018399767107054102,-0.36342033653584116,4.461192470670019e-111,-0.32721871518258844,3.4035050724529786e-89,0.022501489846052103,0.18055262225361168,-0.0896225533173853,9.117601693036576e-08
LAM4,450,-0.25795096930519823,2.8410219024422856e-08,-0.1540383434955504,0.0010449205717085192,-0.12043240512676832,0.01055900638673777,-0.18289415468108258,9.542460806585644e-05,-0.0443058300385657,0.348390877198889,-0.14587275982814674,0.001919372170682011,-0.010369638390747268,0.8263639188588204,-0.04957165908985583,0.2940427745794139,-0.007862108271536272,0.8679057567632523,-0.3221743646470683,2.506716646846564e-12,0.07603327070246876,0.10723301558073609,-0.008840966407499642,0.8516392688841559,-0.07364877471668045,0.11873615947554579,-0.2341818258294125,5.061731954310621e-07,-0.07516594184228648,0.11131084129928023,-0.16653084510901964,0.00038871392888627373
