distance_bin,current_state,cells,fraction_in_bin,bin_cells
0-10%,boundary,1348,0.605570530098832,2226
0-10%,State_16,275,0.12353998203054807,2226
0-10%,State_15,200,0.08984725965858041,2226
0-10%,State_20,176,0.07906558849955077,2226
0-10%,State_5,56,0.025157232704402517,2226
0-10%,State_18,54,0.02425876010781671,2226
0-10%,State_12,53,0.023809523809523808,2226
0-10%,State_7,31,0.013926325247079964,2226
0-10%,State_4,13,0.005840071877807727,2226
0-10%,State_9,9,0.004043126684636119,2226
0-10%,State_1,3,0.0013477088948787063,2226
0-10%,State_17,3,0.0013477088948787063,2226
0-10%,State_13,3,0.0013477088948787063,2226
0-10%,State_14,2,0.0008984725965858042,2226
10-20%,boundary,1703,0.7650494159928122,2226
10-20%,State_20,145,0.0651392632524708,2226
10-20%,State_5,84,0.03773584905660377,2226
10-20%,State_12,83,0.03728661275831087,2226
10-20%,State_16,50,0.022461814914645103,2226
10-20%,State_18,41,0.018418688230008983,2226
10-20%,State_4,38,0.017070979335130278,2226
10-20%,State_7,33,0.014824797843665768,2226
10-20%,State_9,26,0.011680143755615454,2226
10-20%,State_1,10,0.004492362982929021,2226
10-20%,State_17,9,0.004043126684636119,2226
10-20%,State_14,1,0.0004492362982929021,2226
10-20%,State_10,1,0.0004492362982929021,2226
10-20%,State_19,1,0.0004492362982929021,2226
10-20%,State_11,1,0.0004492362982929021,2226
20-40%,boundary,3492,0.784366576819407,4452
20-40%,State_5,209,0.046945193171608265,4452
20-40%,State_20,199,0.04469901168014376,4452
20-40%,State_12,140,0.031446540880503145,4452
20-40%,State_4,112,0.025157232704402517,4452
20-40%,State_7,85,0.019092542677448338,4452
20-40%,State_9,74,0.016621743036837375,4452
20-40%,State_1,41,0.009209344115004492,4452
20-40%,State_18,39,0.00876010781671159,4452
20-40%,State_16,39,0.00876010781671159,4452
20-40%,State_17,17,0.0038185085354896678,4452
20-40%,State_6,2,0.0004492362982929021,4452
20-40%,State_13,1,0.00022461814914645105,4452
20-40%,State_10,1,0.00022461814914645105,4452
20-40%,State_3,1,0.00022461814914645105,4452
40-60%,boundary,3508,0.7879604672057502,4452
40-60%,State_5,225,0.05053908355795148,4452
40-60%,State_12,130,0.029200359389038633,4452
40-60%,State_7,128,0.028751123090745734,4452
40-60%,State_20,106,0.023809523809523808,4452
40-60%,State_4,100,0.022461814914645103,4452
40-60%,State_1,92,0.020664869721473494,4452
40-60%,State_9,90,0.02021563342318059,4452
40-60%,State_18,23,0.005166217430368374,4452
40-60%,State_17,22,0.004941599281221923,4452
40-60%,State_16,21,0.0047169811320754715,4452
40-60%,State_13,2,0.0004492362982929021,4452
40-60%,State_3,2,0.0004492362982929021,4452
40-60%,State_11,2,0.0004492362982929021,4452
40-60%,State_10,1,0.00022461814914645105,4452
60-80%,boundary,3451,0.7751572327044025,4452
60-80%,State_1,204,0.04582210242587601,4452
60-80%,State_5,184,0.04132973944294699,4452
60-80%,State_7,129,0.028975741239892182,4452
60-80%,State_4,118,0.026504941599281222,4452
60-80%,State_12,118,0.026504941599281222,4452
60-80%,State_20,102,0.022911051212938006,4452
60-80%,State_9,99,0.02223719676549865,4452
60-80%,State_17,26,0.005840071877807727,4452
60-80%,State_18,10,0.0022461814914645105,4452
60-80%,State_16,8,0.0017969451931716084,4452
60-80%,State_6,1,0.00022461814914645105,4452
60-80%,State_10,1,0.00022461814914645105,4452
60-80%,State_3,1,0.00022461814914645105,4452
80-100%,boundary,3381,0.759263417920503,4453
80-100%,State_1,353,0.07927240062878958,4453
80-100%,State_7,170,0.038176510217830674,4453
80-100%,State_4,169,0.03795194251066697,4453
80-100%,State_9,108,0.024253312373680665,4453
80-100%,State_5,106,0.023804176959353246,4453
80-100%,State_12,81,0.018189984280260498,4453
80-100%,State_17,44,0.009880979115203234,4453
80-100%,State_20,28,0.006287895800583876,4453
80-100%,State_18,7,0.001571973950145969,4453
80-100%,State_16,3,0.0006737031214911295,4453
80-100%,State_2,1,0.00022456770716370987,4453
80-100%,State_19,1,0.00022456770716370987,4453
80-100%,State_8,1,0.00022456770716370987,4453
