dataset,score_name,n_cells,distance_range,distance_spearman_rho,distance_spearman_pvalue,slope,ci95_low,ci95_high,pvalue
GSE135851,LAMCORE_full,3890,7.498286247253418,-0.10385471625946874,8.420720500086187e-11,-0.006767525216021,-0.008415628332122758,-0.0051194220999192415,1.0849619728549596e-15
GSE135851,LAMCORE_no_gate,3890,7.498286247253418,-0.09925300946472757,5.514028470330976e-10,-0.0061659894847095244,-0.007801453088891237,-0.004530525880527812,1.7652516289692312e-13
GSE135851,LAMCORE_outside_scVI,3890,7.498286247253418,-0.018921495021488054,0.23805692640982004,-2.6225201357271985e-05,-0.0010389613097301557,0.0009865109070156118,0.9595115271475703
GSE135851,LAMCORE_independent,3890,7.498286247253418,-0.02029738744226912,0.20563167324872214,-3.7697443812277424e-05,-0.0010578892579747542,0.0009824943703501993,0.9422508417239936
GSE190260,LAMCORE_full,7599,6.515631914138794,-0.1656746663061482,6.715449512368018e-48,-0.019071881237101896,-0.021240068408012253,-0.01690369406619154,2.1915838057073074e-65
GSE190260,LAMCORE_no_gate,7599,6.515631914138794,-0.1617339225382887,1.0580504387506695e-45,-0.018573916981249567,-0.02074360489266097,-0.016404229069838166,4.35429951647632e-62
GSE190260,LAMCORE_outside_scVI,7599,6.515631914138794,-0.10406916701190577,9.445175514706265e-20,-0.004791511170267447,-0.005849721464725247,-0.003733300875809647,8.532296542652688e-19
GSE190260,LAMCORE_independent,7599,6.515631914138794,-0.10446799003569027,6.837178593835793e-20,-0.0048603414945893614,-0.005932599021397606,-0.0037880839677811168,7.836990171035795e-19
GSE217108,LAMCORE_full,2149,4.591801166534424,-0.08212833401034397,0.00013814090681399578,-0.008230968085974302,-0.011995258845055364,-0.00446667732689324,1.8822256791989345e-05
GSE217108,LAMCORE_no_gate,2149,4.591801166534424,-0.07957839538263232,0.00022184105983303088,-0.008032204749152491,-0.011831695159680179,-0.004232714338624804,3.518749267622827e-05
GSE217108,LAMCORE_outside_scVI,2149,4.591801166534424,-0.1230139449277495,1.0588779547988836e-08,-0.006137917824262311,-0.008820394471812074,-0.003455441176712547,7.5969317969852516e-06
GSE217108,LAMCORE_independent,2149,4.591801166534424,-0.12066814329345651,2.0103356983551033e-08,-0.0060222553300776195,-0.00871641585767318,-0.0033280948024820584,1.2237813563470415e-05
GSE302356,LAMCORE_full,8423,7.660274624824524,-0.18923554484595595,9.49326719786047e-69,-0.029301123355600863,-0.03132687124889039,-0.027275375462311343,5.433172114185198e-169
GSE302356,LAMCORE_no_gate,8423,7.660274624824524,-0.18670097334613026,6.157560103806245e-67,-0.028745693868106797,-0.0307723213611179,-0.026719066375095694,7.420842628137735e-163
GSE302356,LAMCORE_outside_scVI,8423,7.660274624824524,-0.0013346639044409143,0.9025242730997052,-0.0066750457608604095,-0.00838015601097593,-0.004969935510744889,1.8558621067480273e-14
GSE302356,LAMCORE_independent,8423,7.660274624824524,-0.0075842189930447525,0.4864521027314542,-0.006882810531446689,-0.008575934597035591,-0.005189686465857787,1.8130891536721256e-15
