smooth_bin,distance_percentile_midpoint,n_cells,distance_median,LAMCORE_full_median,LAMCORE_no_gate_median,LAMCORE_outside_scVI_median,LAMCORE_independent_median
1,0.025,1103,3.576749086380005,0.22758279740810394,0.22477048635482788,0.12644286453723907,0.12672370672225952
2,0.075,1103,3.988851547241211,0.13324691355228424,0.1310233175754547,0.09260069578886032,0.0918758362531662
3,0.125,1103,4.21537971496582,0.10918521136045456,0.10755705088376999,0.08697064220905304,0.08679486066102982
4,0.175,1103,4.393457889556885,0.09654542803764343,0.09602238237857819,0.07795603573322296,0.07768511772155762
5,0.225,1103,4.544433116912842,0.0885094478726387,0.08720323443412781,0.07624004036188126,0.07625660300254822
6,0.275,1103,4.684806346893311,0.09512335807085037,0.09476596862077713,0.08323469758033752,0.08284317702054977
7,0.325,1103,4.807085514068604,0.08087911456823349,0.08000094443559647,0.07596294581890106,0.07516056299209595
8,0.375,1103,4.917925834655762,0.07981972396373749,0.07925695180892944,0.07444265484809875,0.07407604157924652
9,0.425,1103,5.033380508422852,0.09662993252277374,0.09594941139221191,0.08628766238689423,0.08503413200378418
10,0.475,1103,5.137501239776611,0.08624835312366486,0.0853055864572525,0.08047948032617569,0.07969658076763153
11,0.525,1103,5.248788833618164,0.08576294034719467,0.08474299311637878,0.08229336887598038,0.08117814362049103
12,0.575,1103,5.359485626220703,0.09289711713790894,0.09250930696725845,0.0854627788066864,0.08496955037117004
13,0.625,1103,5.463613986968994,0.10320127010345459,0.1027628555893898,0.09005575627088547,0.08903704583644867
14,0.675,1103,5.57789945602417,0.11341331899166107,0.11157669126987457,0.10138660669326782,0.10118793696165085
15,0.725,1103,5.707404613494873,0.1324567198753357,0.13058996200561523,0.12472189962863922,0.12412045150995255
16,0.775,1103,5.8508148193359375,0.1472899168729782,0.14627625048160553,0.1400197297334671,0.13851962983608246
17,0.825,1103,6.0036444664001465,0.1480158269405365,0.14732904732227325,0.13337738811969757,0.1318303942680359
18,0.875,1103,6.210015296936035,0.15189209580421448,0.15102370083332062,0.14054104685783386,0.13954930007457733
19,0.925,1103,6.478477478027344,0.1633165329694748,0.16220715641975403,0.15252555906772614,0.15227019786834717
20,0.975,1104,7.001291751861572,0.16239793598651886,0.16208809614181519,0.1501474827528,0.14912797510623932
