gene,in_scvi_4000_hvg,in_old_candidate_gate_marker,in_neither_scvi_hvg_nor_gate,in_expression_matrix,expression_aliases,n_expression_aliases
ABCB5,False,False,True,True,ABCB5,1
ABCC9,False,False,True,True,ABCC9,1
ABHD4,False,False,True,True,ABHD4,1
ABI2,False,False,True,True,ABI2,1
ABI3BP,True,False,False,True,ABI3BP,1
AC131025.8,False,False,True,False,,0
ACOT11,False,False,True,True,ACOT11,1
ACTA2,True,True,False,True,ACTA2,1
ACTG2,True,False,False,True,ACTG2,1
ADAM12,False,False,True,True,ADAM12,1
ADAM23,False,False,True,True,ADAM23,1
ADAMTS1,True,False,False,True,ADAMTS1,1
ADAMTS5,True,False,False,True,ADAMTS5,1
AEBP1,True,False,False,True,AEBP1,1
AGAP2-AS1,False,False,True,True,AGAP2-AS1,1
AHNAK2,False,False,True,True,AHNAK2,1
AKAP12,True,False,False,True,AKAP12,1
ALDH1A2,False,False,True,True,ALDH1A2,1
ALDH1B1,False,False,True,True,ALDH1B1,1
ALDH1L1,False,False,True,True,ALDH1L1,1
ALDOC,False,False,True,True,ALDOC,1
AMDHD2,False,False,True,True,AMDHD2,1
AMN1,False,False,True,True,AMN1,1
ANGPTL2,False,False,True,True,ANGPTL2,1
ANK2,False,False,True,True,ANK2,1
ANKRD29,False,False,True,True,ANKRD29,1
ANKS3,False,False,True,True,ANKS3,1
ANTXR1,False,False,True,True,ANTXR1,1
ANTXR2,False,False,True,True,ANTXR2,1
AP000688.8,False,False,True,False,,0
APBB1,False,False,True,True,APBB1,1
APP,True,False,False,True,APP,1
APPL2,False,False,True,True,APPL2,1
AR,False,False,True,True,AR,1
ARHGAP1,False,False,True,True,ARHGAP1,1
ARHGAP24,False,False,True,True,ARHGAP24,1
ARHGEF9,False,False,True,True,ARHGEF9,1
ARID5B,True,False,False,True,ARID5B,1
ARMC9,False,False,True,True,ARMC9,1
ARMCX1,False,False,True,True,ARMCX1,1
ASAP2,False,False,True,True,ASAP2,1
ASB5,False,False,True,True,ASB5,1
ASPN,True,False,False,True,ASPN,1
ATF3,False,False,True,True,ATF3,1
ATP10D,False,False,True,True,ATP10D,1
ATP2B4,False,False,True,True,ATP2B4,1
ATRNL1,False,False,True,True,ATRNL1,1
AUH,False,False,True,True,AUH,1
AVEN,False,False,True,True,AVEN,1
B3GNT1,False,False,True,False,,0
BACE2,True,False,False,True,BACE2,1
BAG2,False,False,True,True,BAG2,1
BAMBI,False,False,True,True,BAMBI,1
BASP1,True,False,False,True,BASP1,1
BCAS3,False,False,True,True,BCAS3,1
BCAS4,False,False,True,True,BCAS4,1
BCL7A,False,False,True,True,BCL7A,1
BCS1L,False,False,True,True,BCS1L,1
BCYRN1,False,False,True,False,,0
BGN,True,False,False,True,BGN,1
BHMT2,False,False,True,True,BHMT2,1
BICD1,False,False,True,True,BICD1,1
BIN1,False,False,True,True,BIN1,1
BMPR1A,False,False,True,True,BMPR1A,1
BNC2,True,False,False,True,BNC2,1
BOLA1,False,False,True,True,BOLA1,1
BPI,False,False,True,True,BPI,1
