source_state,target_state,source_cells,k,directed_edges,source_to_target_fraction
State_1,State_1,703,30,11400,0.5405405405405406
State_1,boundary,703,30,9285,0.4402560455192034
State_1,State_12,703,30,181,0.008582266477003319
State_1,State_9,703,30,107,0.005073494547178758
State_1,State_20,703,30,37,0.0017543859649122807
State_1,State_10,703,30,21,0.000995732574679943
State_1,State_7,703,30,16,0.0007586533902323376
State_1,State_4,703,30,12,0.0005689900426742532
State_1,State_5,703,30,11,0.0005215742057847322
State_1,State_16,703,30,7,0.0003319108582266477
State_1,State_15,703,30,6,0.0002844950213371266
State_1,State_14,703,30,5,0.0002370791844476055
State_1,State_18,703,30,2,9.48316737790422e-05
State_10,boundary,4,30,54,0.45
State_10,State_12,4,30,44,0.36666666666666664
State_10,State_1,4,30,14,0.11666666666666667
State_10,State_7,4,30,4,0.03333333333333333
State_10,State_10,4,30,2,0.016666666666666666
State_10,State_5,4,30,1,0.008333333333333333
State_10,State_9,4,30,1,0.008333333333333333
State_11,boundary,3,30,50,0.5555555555555556
State_11,State_20,3,30,18,0.2
State_11,State_12,3,30,18,0.2
State_11,State_11,3,30,2,0.022222222222222223
State_11,State_16,3,30,1,0.011111111111111112
State_11,State_5,3,30,1,0.011111111111111112
State_12,boundary,605,30,11211,0.6176859504132232
State_12,State_12,605,30,5818,0.3205509641873278
State_12,State_20,605,30,226,0.012451790633608815
State_12,State_7,605,30,215,0.011845730027548209
State_12,State_9,605,30,178,0.009807162534435261
State_12,State_4,605,30,171,0.009421487603305785
State_12,State_1,605,30,146,0.008044077134986225
State_12,State_10,605,30,45,0.0024793388429752068
State_12,State_15,605,30,43,0.0023691460055096417
State_12,State_5,605,30,35,0.001928374655647383
State_12,State_16,605,30,25,0.0013774104683195593
State_12,State_13,605,30,13,0.0007162534435261708
State_12,State_11,605,30,13,0.0007162534435261708
State_12,State_19,605,30,7,0.0003856749311294766
State_12,State_3,605,30,4,0.00022038567493112948
State_13,boundary,6,30,92,0.5111111111111111
State_13,State_16,6,30,50,0.2777777777777778
State_13,State_12,6,30,21,0.11666666666666667
State_13,State_15,6,30,7,0.03888888888888889
State_13,State_13,6,30,4,0.022222222222222223
