replicate,seed,n_sampled_fake_anchor,sampling_strata,sampling_with_replacement_cells,target_scope,score_name,patient_adjusted_slope,slope_ci95_low,slope_ci95_high,slope_pvalue,spearman_rho,spearman_pvalue
0,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.003074355351080804,0.0021518870168738416,0.003996823685287767,6.61241242662391e-11,0.32149161200839715,0.0
1,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.0032729297249974587,0.002344881013416883,0.004200978436578034,4.890333242271129e-12,0.3277975698575251,0.0
2,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.005864413396740903,0.004945051472268054,0.0067837753212137515,9.519454073048792e-36,0.31033114000858375,0.0
3,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.004365939109680778,0.0034253991828884067,0.0053064790364731485,9.910505416762333e-20,0.29907650938439206,0.0
4,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.00308816185303476,0.0021540566296120475,0.004022267076457472,9.364973858921592e-11,0.31166377205536033,0.0
5,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.007428578762643051,0.006500025726124215,0.008357131799161886,4.0579585562601905e-55,0.30222705100142216,0.0
6,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.004216369235329892,0.003290835282977099,0.005141903187682685,4.614366497652513e-19,0.3271556208839303,0.0
7,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.0060694176676237555,0.005156667777395228,0.006982167557852283,1.0942031440789692e-38,0.36550251346783835,0.0
8,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.002887769418649322,0.001948762171496291,0.003826776665802353,1.6875143180700889e-09,0.30781310000151135,0.0
9,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.0006545699946489403,-0.00027343925403501904,0.0015825792433328996,0.16682189776829087,0.30546239494974997,0.0
10,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.00914361243013484,0.008209559737622137,0.010077665122647543,2.1702794830492596e-81,0.37381494322412673,0.0
11,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.005387969952047045,0.004452407372452679,0.00632353253164141,1.8083046383225439e-29,0.37905201423679724,0.0
12,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,-8.868666079175913e-05,-0.0010340512928679077,0.0008566779712843893,0.854110484788996,0.28359601366846243,0.0
13,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.0041773824139713644,0.003247258442888222,0.005107506385054507,1.426999544162336e-18,0.36790696260034433,0.0
14,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.0068849348104075,0.00595527994509018,0.00781458967572482,1.5875202408277255e-47,0.3244316281454296,0.0
15,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.005781974212772295,0.0048533900726098565,0.006710558352934734,3.781928186523755e-34,0.24713947836871739,2.847966505793201e-304
16,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.0025494959743798673,0.001625997606670359,0.0034729943420893756,6.32714371010932e-08,0.23420545611961488,1.3629379108883317e-272
17,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.0018984189688671937,0.0009692094086687495,0.002827628529065638,6.234744672698039e-05,0.2794643986308941,0.0
18,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.0054820146492180755,0.004548427254854724,0.006415602043581427,1.4446063460355844e-30,0.33657316762502876,0.0
19,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.00797787956736809,0.007057820856057198,0.008897938278678984,2.2650020354314106e-64,0.290124115455306,0.0
20,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.0024036774563813423,0.0014646294882547932,0.0033427254245078915,5.284081949317097e-07,0.30425869418184825,0.0
21,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.006921648056155499,0.00597774668124795,0.007865549431063048,1.2379719896904593e-46,0.2813436589384262,0.0
22,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.006594458686270455,0.005656815889018183,0.0075321014835227264,4.720256684208622e-43,0.3267120231223023,0.0
23,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.006282753923263523,0.005367695225840804,0.0071978126206862425,4.028619493116362e-41,0.3693207307617762,0.0
24,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.0037073985388919595,0.002786533785235995,0.004628263292547924,3.130551862199916e-15,0.35910395114161653,0.0
25,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.0014882742163854212,0.0005678535312722078,0.0024086949014986347,0.0015299549523603404,0.30962911532356213,0.0
26,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,-0.0005387031846651735,-0.0014724679337149741,0.00039506156438462697,0.2581535515242429,0.30136365143012656,0.0
27,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.005280661485639909,0.004340604330378937,0.006220718640900881,4.0275684294221924e-28,0.3601518053296074,0.0
28,20260831,200,9,0,non-State15 candidates,LAMCORE_independent,0.006223189599702222,0.005291848319025346,0.007154530880379099,4.7839740437611656e-39,0.4052569138724546,0.0
