patient,score_name,n_cells,distance_range,distance_spearman_rho,distance_spearman_pvalue,slope,ci95_low,ci95_high,pvalue,stage20_nonnegative_patient,gradient_class,n_State15
LAM1,LAMCORE_full,736,4.783830881118774,0.05919745870149133,0.10856765297479454,0.00025815072555219196,-0.004064725817131881,0.0045810272682362645,0.9067041833308982,False,near_zero,25
LAM1,LAMCORE_no_gate,736,4.783830881118774,0.05999266794205145,0.10389459070944876,0.0006722497325453987,-0.0036325764752862407,0.004977075940377038,0.7592521697935039,False,near_zero,25
LAM1,LAMCORE_outside_scVI,736,4.783830881118774,0.08060857284923291,0.02876457210530974,0.0045471285452494525,0.002119998002074826,0.006974259088424079,0.0002522622782875386,False,near_zero,25
LAM1,LAMCORE_independent,736,4.783830881118774,0.0818664602293044,0.0263553398819936,0.0046711548354988735,0.0022242323245541223,0.007118077346443624,0.00019245380865001816,False,near_zero,25
LAM1110,LAMCORE_full,555,4.761635780334473,0.0854604520111104,0.044171630885599514,0.0005505455652384864,-0.009106732155416375,0.010207823285893347,0.9108803615769129,True,near_zero,0
LAM1110,LAMCORE_no_gate,555,4.761635780334473,0.08434892051233633,0.047012302957906864,0.0009700607595542916,-0.008718672436510547,0.010658793955619129,0.8441603572650402,True,near_zero,0
LAM1110,LAMCORE_outside_scVI,555,4.761635780334473,0.10982991146355038,0.009613629964051707,0.00506079731429164,0.00028478215729201787,0.009836812471291263,0.037857912192759594,True,positive,0
LAM1110,LAMCORE_independent,555,4.761635780334473,0.10610622829670696,0.012379937670502139,0.005268141035833398,0.00044044352781189705,0.0100958385438549,0.032511093489425186,True,positive,0
LAM1158,LAMCORE_full,765,6.071512699127197,-0.27536795697869865,8.886721151214236e-15,-0.05198607814321517,-0.058713006485844633,-0.0452591498005857,1.2523085732084166e-45,False,negative,10
LAM1158,LAMCORE_no_gate,765,6.071512699127197,-0.2740125383194985,1.2141130990345861e-14,-0.05162127615139032,-0.058358491962598624,-0.04488406034018201,5.67981028841017e-45,False,negative,10
LAM1158,LAMCORE_outside_scVI,765,6.071512699127197,-0.2707022053965326,2.5826257280105165e-14,-0.02056380229429513,-0.024062054501178414,-0.017065550087411844,1.6558875296178465e-28,False,negative,10
LAM1158,LAMCORE_independent,765,6.071512699127197,-0.26732904596764456,5.514139481113122e-14,-0.0206629477522262,-0.0241994154042193,-0.0171264801002331,3.294922646805999e-28,False,negative,10
LAM1163,LAMCORE_full,1967,6.44947361946106,-0.10164838063665699,6.271226619369495e-06,-0.00826220549535493,-0.012140184934991666,-0.004384226055718196,3.0648113324076857e-05,False,negative,127
LAM1163,LAMCORE_no_gate,1967,6.44947361946106,-0.09389059937571777,3.0366690929257544e-05,-0.00734574614012215,-0.011214909208469986,-0.0034765830717743136,0.00020212859266459574,False,near_zero,127
LAM1163,LAMCORE_outside_scVI,1967,6.44947361946106,-0.020901880515557084,0.3541713411491494,-0.00048549092862591975,-0.0024829687143783216,0.0015119868571264823,0.6336524578163895,False,near_zero,127
LAM1163,LAMCORE_independent,1967,6.44947361946106,-0.021733263891552754,0.3353516888762268,-0.0004945404133294072,-0.0025141104120038225,0.0015250295853450084,0.6311100246909752,False,near_zero,127
LAM1164,LAMCORE_full,4312,4.99777626991272,-0.1346911685150382,6.534838424217749e-19,-0.020852251979531666,-0.023990112638126018,-0.017714391320937314,4.3858212822944107e-38,False,negative,1
LAM1164,LAMCORE_no_gate,4312,4.99777626991272,-0.1346912508354819,6.534516473538677e-19,-0.02068541810388606,-0.023826224255161677,-0.017544611952610444,1.890423160017936e-37,False,negative,1
LAM1164,LAMCORE_outside_scVI,4312,4.99777626991272,-0.08119159083789969,9.357294616232548e-08,-0.004218419502727383,-0.005657312067177519,-0.0027795269382772476,9.673041642032617e-09,False,near_zero,1
LAM1164,LAMCORE_independent,4312,4.99777626991272,-0.08372230028282615,3.6756300691046944e-08,-0.004327740815667746,-0.0057860847349703185,-0.0028693968963651737,6.388478754104037e-09,False,near_zero,1
LAM18,LAMCORE_full,705,4.827861070632935,-0.3728305598325489,1.1381591080271796e-24,-0.050594297158992135,-0.06023515442028612,-0.04095343989769815,2.7917896525763017e-23,False,negative,0
LAM18,LAMCORE_no_gate,705,4.827861070632935,-0.3664968959074197,7.78895191703708e-24,-0.049912904153110976,-0.059580993093203895,-0.04024481521301806,1.2554557532495996e-22,False,negative,0
LAM18,LAMCORE_outside_scVI,705,4.827861070632935,-0.25001910948433165,1.6515389364231256e-11,-0.018803959862663547,-0.023933264532619847,-0.013674655192707247,1.5770780150046474e-12,False,negative,0
LAM18,LAMCORE_independent,705,4.827861070632935,-0.25215656352567933,1.0951191060928055e-11,-0.018962792406359154,-0.024123356221685335,-0.013802228591032972,1.4057144827999438e-12,False,negative,0
LAM2,LAMCORE_full,1509,4.865141868591309,0.21314325650432778,5.800112600939765e-17,0.011788742480631545,0.010450938255923404,0.013126546705339685,3.2685928763641376e-61,True,positive,0
LAM2,LAMCORE_no_gate,1509,4.865141868591309,0.21382221191445314,4.5993761981834764e-17,0.011980682033152206,0.010631461532211972,0.01332990253409244,4.759578800930572e-62,True,positive,0
LAM2,LAMCORE_outside_scVI,1509,4.865141868591309,0.19449491886053452,2.498591251751854e-14,0.008929228088726439,0.007850249845276028,0.010008206332176849,9.797135220517985e-55,True,positive,0
LAM2,LAMCORE_independent,1509,4.865141868591309,0.19728442282172198,1.0466584623226689e-14,0.009030957414962138,0.007943484652131174,0.010118430177793103,4.458581411287141e-55,True,positive,0
LAM3,LAMCORE_full,4930,8.091888427734375,0.2661317682526894,1.0479256257924292e-80,-0.003509455564660121,-0.006645021839077666,-0.0003738892902425757,0.028266709817313117,True,positive,26
LAM3,LAMCORE_no_gate,4930,8.091888427734375,0.2693964956451023,9.991751602049947e-83,-0.002547517268880629,-0.005679419129764793,0.000584384592003535,0.11085597797509662,True,positive,26
LAM3,LAMCORE_outside_scVI,4930,8.091888427734375,0.31572185199896763,1.5456106028965345e-114,0.0055751319002687654,0.0026403968842123263,0.008509866916325205,0.00019807147893931347,True,positive,26
LAM3,LAMCORE_independent,4930,8.091888427734375,0.3147089351881075,8.896453268056673e-114,0.005659336066272304,0.0027469843655223017,0.008571687767022305,0.00014090127192540377,True,positive,26
LAM32,LAMCORE_full,3533,6.541645050048828,-0.45069723063942224,2.3720069956322842e-176,-0.04157964631056721,-0.04475047642847367,-0.03840881619266075,9.011716454782498e-134,False,negative,10
LAM32,LAMCORE_no_gate,3533,6.541645050048828,-0.4469015692251984,4.466565993167748e-173,-0.0412558006819677,-0.04443678296599251,-0.03807481839794289,3.9619283829722625e-131,False,negative,10
