row_type,branch_id,source_state,distance_metric,score_name,n_cells,n_patients,patient_adjusted_slope,ci95_low,ci95_high,pvalue,spearman_rho,spearman_pvalue
model,branch_01,State_16,latent_distance,LAMCORE_full,396,10,-0.04070294804471518,-0.06318217407350457,-0.018223722015925783,0.00041712097478706844,-0.294698153295864,2.242663773967205e-09
model,branch_01,State_16,latent_distance,LAMCORE_no_gate,396,10,-0.038995903777775114,-0.06142643097757802,-0.016565376577972208,0.0006977341643743956,-0.2852492659271348,7.51716174618755e-09
model,branch_01,State_16,latent_distance,LAMCORE_outside_scVI,396,10,-0.023765489954362933,-0.04612353122711589,-0.001407448681609979,0.037281158615062926,-0.17833675852360292,0.000362102141687033
model,branch_01,State_16,latent_distance,LAMCORE_independent,396,10,-0.02365860916360874,-0.045721471760894764,-0.0015957465663227234,0.035646284369407866,-0.18142165203351956,0.0002845301425389627
model,branch_01,State_16,latent_distance,CORE1,396,10,-0.2747830403738655,-0.36621047700129283,-0.1833556037464381,7.57309412106907e-09,-0.3448926568800187,1.6729156000519393e-12
model,branch_01,State_16,latent_distance,CORE2,396,10,-0.1288472225193548,-0.17592639407484179,-0.0817680509638678,1.2895390140654153e-07,-0.40587941228524677,3.8832216501437466e-17
model,branch_01,State_16,latent_distance,CORE3,396,10,-0.2167721349781822,-0.27621781978501014,-0.15732645017135427,3.872065849918249e-12,-0.4815407848854905,2.223721100043077e-24
model,branch_01,State_16,latent_distance,melanocytic,396,10,-0.06480017470406473,-0.14060481300835467,0.011004463600225223,0.09362798093048798,-0.1906191024775899,0.00013545108059597542
model,branch_01,State_16,latent_distance,myogenic,396,10,-0.3896772882815819,-0.5026968435946193,-0.27665773296854446,4.560936448876085e-11,-0.40497579994268035,4.625404142124087e-17
model,branch_01,State_16,latent_distance,VEGFD,396,10,-0.059895593873314806,-0.15961442088233058,0.03982323313570095,0.2383497759200789,-0.1236340657110577,0.013817939170996113
model,branch_01,State_16,latent_distance,CTSK,396,10,-0.4993581209649053,-0.7069525263986893,-0.29176371553112124,3.1645638173469876e-06,-0.30374004854784,6.75799530933008e-10
model,branch_01,State_16,latent_distance,lam_support,396,10,-0.2241963256858231,-0.30708203963229563,-0.14131061173935056,1.780976278731097e-07,-0.37902869586955124,5.62299640117355e-15
model,branch_01,State_16,latent_distance,HOX_PBX,396,10,-0.03524326976689798,-0.07809342400243005,0.007606884468634077,0.10667375182612766,-0.12496522535542262,0.012821897372366399
model,branch_01,State_16,latent_distance,hormone,396,10,-0.02701761580752747,-0.07839209266866949,0.02435686105361455,0.3017912498947237,-0.025980253791303674,0.6062363540252254
model,branch_01,State_16,latent_distance,ECM,396,10,-0.108578901449428,-0.1613183651838977,-0.0558394377149583,6.250102780670544e-05,-0.2735936297824725,3.1451945819704596e-08
model,branch_01,State_16,latent_distance,protease,396,10,-0.06526463739723443,-0.10303006416190233,-0.027499210632566516,0.0007501600601796981,-0.18791443383105413,0.000169108047398474
model,branch_01,State_16,latent_distance,mTOR_translation,396,10,0.0981696681707309,0.016525836855153936,0.17981349948630787,0.018568656374558214,0.052382697300909276,0.29842291318774095
model,branch_01,State_16,latent_distance,T_NK,396,10,0.050436070579771994,0.0025858254576716366,0.09828631570187235,0.038893680047285537,0.2497418224715508,4.80151944446173e-07
model,branch_01,State_16,latent_distance,macrophage,396,10,0.0054394586489088965,-0.03792278642272284,0.04880170372054063,0.8053200947583672,-0.04793315459650666,0.34140674306489294
model,branch_01,State_16,latent_distance,AT2,396,10,-0.04448718559898536,-0.1153335087270999,0.026359137529129176,0.21772516021891047,-0.023333087665042183,0.6434232783077265
model,branch_01,State_16,latent_distance,endothelial,396,10,-0.0011780606676764088,-0.016675484191984363,0.014319362856631547,0.881269289542949,0.07181807065548759,0.1537280153493825
model,branch_01,State_16,latent_distance,lymphatic_endothelial,396,10,-0.013995532414578083,-0.031012577803227345,0.00302151297407118,0.10668865503372572,-0.04198571852789295,0.40471414948188017
model,branch_01,State_16,latent_distance,fibroblast,396,10,-0.0840743169600104,-0.13451963587693933,-0.03362899804308146,0.0011449785805714152,-0.2199011345202021,1.0039626952873101e-05
model,branch_01,State_16,latent_distance,pericyte_VSMC,396,10,-0.2518685391709024,-0.3319615929953999,-0.1717754853464049,1.6064200441396296e-09,-0.35750407520298927,2.207582792143325e-13
model,branch_01,State_16,latent_distance,mesothelial,396,10,-0.006989580506238118,-0.020578924369486787,0.006599763357010549,0.31252122781780806,0.01762286155093413,0.7266320955519969
model,branch_01,State_16,latent_distance,ciliated,396,10,-0.0006113825445810614,-0.016268058542130346,0.015045293452968223,0.9388411347484993,-0.07153997602602365,0.15533175183786332
model,branch_01,State_16,graph_hop,LAMCORE_full,396,10,-0.05249787178034992,-0.0756511616091726,-0.029344581951527244,1.0863948459129729e-05,-0.30763543359650886,3.9791725080311685e-10
model,branch_01,State_16,graph_hop,LAMCORE_no_gate,396,10,-0.05148840028292515,-0.07458149876381903,-0.028395301802031266,1.5071023077360064e-05,-0.30302866491594654,7.438061714105947e-10
model,branch_01,State_16,graph_hop,LAMCORE_outside_scVI,396,10,-0.04318270518326549,-0.06614601159194179,-0.020219398774589184,0.0002494963482430732,-0.2371696747060477,1.81531813550049e-06
model,branch_01,State_16,graph_hop,LAMCORE_independent,396,10,-0.04259947657729885,-0.06526219305375852,-0.019936760100839175,0.0002509790502611266,-0.23943903564396132,1.4355438926834843e-06
model,branch_01,State_16,graph_hop,CORE1,396,10,-0.06851540309593679,-0.16751069823797693,0.030479892046103338,0.17437802855685877,-0.13089541151139084,0.009113136014217453
model,branch_01,State_16,graph_hop,CORE2,396,10,-0.12101311921484725,-0.17027711708972545,-0.07174912133996905,1.977020740724641e-06,-0.2548229669791811,2.7476834584277126e-07
model,branch_01,State_16,graph_hop,CORE3,396,10,-0.1566174367436446,-0.22049295698987298,-0.09274191649741621,2.061614362666727e-06,-0.2874811773160091,5.671766873857879e-09
model,branch_01,State_16,graph_hop,melanocytic,396,10,-0.13558851201744349,-0.21348233478285178,-0.05769468925203519,0.000687222715002892,-0.20556744800078489,3.757382320283454e-05
model,branch_01,State_16,graph_hop,myogenic,396,10,-0.1468612977486503,-0.2702570660355284,-0.02346552946177223,0.019792017940378628,-0.14702187031984584,0.003363527903844274
model,branch_01,State_16,graph_hop,VEGFD,396,10,-0.007520850202798732,-0.11134027028742485,0.09629856988182739,0.8868142609088588,-0.033253259051226156,0.5093679595587887
model,branch_01,State_16,graph_hop,CTSK,396,10,-0.2656226411792454,-0.48594580058836234,-0.04529948177012841,0.018261077846814824,-0.13664906074709224,0.006459962035524011
model,branch_01,State_16,graph_hop,lam_support,396,10,-0.1846604939760601,-0.27196974607335145,-0.09735124187876876,3.953567107676968e-05,-0.26379704680405697,9.954097362640692e-08
