branch_id,source_state,omitted_patient,n_remaining_cells,n_remaining_patients,LOPO_LAMCORE_slope,LOPO_ci95_low,LOPO_ci95_high,LOPO_pvalue,LOPO_slope_direction
branch_01,State_16,LAM1,392,9,-0.024154355744184543,-0.04658329664268943,-0.0017254148456796528,0.034867399627985636,decrease
branch_01,State_16,LAM1158,393,9,-0.023913998148573777,-0.046371759606699856,-0.0014562366904476987,0.036946384503277065,decrease
branch_01,State_16,LAM1163,278,9,-0.02911566010977373,-0.059321765740556136,0.001090445521008676,0.058799748928040914,decrease
branch_01,State_16,LAM1164,391,9,-0.024394793806347452,-0.04688767649188581,-0.001901911120809091,0.033607514945882246,decrease
branch_01,State_16,LAM18,383,9,-0.0246263390860074,-0.04822862419029824,-0.0010240539817165592,0.04090050250852898,decrease
branch_01,State_16,LAM3,245,9,-0.01988975280453846,-0.03234282917943451,-0.00743667642964241,0.001865154118997733,decrease
branch_01,State_16,LAM32,374,9,-0.023583328710976792,-0.04743029436394951,0.0002636369419959199,0.05257345791801784,decrease
branch_01,State_16,LAM4,365,9,-0.025189385652853127,-0.0490591011609314,-0.0013196701447748573,0.038669232719190205,decrease
branch_01,State_16,LAM44,377,9,-0.021238712126777283,-0.04433353687195739,0.0018561126184028255,0.07136154502673388,decrease
branch_01,State_16,LAM50,357,9,-0.022808016850573577,-0.04807332041664408,0.002457286715496925,0.07668647937909859,decrease
branch_02,State_12,LAM1158,512,8,-0.022773197923263325,-0.029312259387747622,-0.01623413645877903,2.2723854745988488e-11,decrease
branch_02,State_12,LAM1163,488,8,-0.022773530418846055,-0.029510425381072684,-0.016036635456619427,8.405738165351736e-11,decrease
branch_02,State_12,LAM1164,511,8,-0.022678325080624687,-0.029237592081490967,-0.016119058079758407,3.120000817151886e-11,decrease
branch_02,State_12,LAM18,512,8,-0.022510627312537876,-0.029050958615455192,-0.01597029600962056,3.783959491303051e-11,decrease
branch_02,State_12,LAM3,198,8,-0.021933470750943103,-0.03209296582946294,-0.011773975672423269,3.238262378410778e-05,decrease
branch_02,State_12,LAM32,362,8,-0.022716382636646517,-0.030543280199450483,-0.014889485073842551,2.4241521293039607e-08,decrease
branch_02,State_12,LAM4,512,8,-0.022832102536287292,-0.029365779627824277,-0.016298425444750308,1.9571037455663337e-11,decrease
branch_02,State_12,LAM44,507,8,-0.02261564246491274,-0.029192178251404723,-0.016039106678420754,3.9607466922636464e-11,decrease
branch_02,State_12,LAM50,510,8,-0.023513531099895547,-0.03012282285136896,-0.016904239348422136,8.828684572567245e-12,decrease
branch_03,State_20,LAM1,722,9,0.01051793526183308,0.005557055011236349,0.015478815512429812,3.5326209710864234e-05,increase_or_flat
branch_03,State_20,LAM1110,692,9,0.01100454375565943,0.0058875689758766244,0.016121518535442234,2.742778602114251e-05,increase_or_flat
branch_03,State_20,LAM1158,690,9,0.01105595166559856,0.005986639701699681,0.01612526362949744,2.116770650281674e-05,increase_or_flat
branch_03,State_20,LAM1163,672,9,0.012649843653664488,0.007385757734470562,0.017913929572858416,2.8999299627500773e-06,increase_or_flat
branch_03,State_20,LAM1164,459,9,0.01040262126479368,0.003371813905719859,0.017433428623867504,0.003820720586773874,increase_or_flat
branch_03,State_20,LAM18,681,9,0.011480734786637796,0.006461800152032195,0.016499669421243396,8.326510536413773e-06,increase_or_flat
branch_03,State_20,LAM3,632,9,0.007147212647112041,0.00217185496129119,0.012122570332932892,0.004939834215829886,increase_or_flat
branch_03,State_20,LAM32,598,9,0.00908210528483306,0.003869406669197833,0.014294803900468287,0.0006650480724134675,increase_or_flat
branch_03,State_20,LAM44,663,9,0.010878975499712559,0.005792988095436282,0.015964962903988834,3.0378139050021978e-05,increase_or_flat
branch_03,State_20,LAM50,725,9,0.010504354726205655,0.005564146671827125,0.015444562780584186,3.354212695328679e-05,increase_or_flat
branch_04,State_7,LAM1,398,10,0.0011441583032621126,-0.004383465941582224,0.006671782548106449,0.6842593915765652,increase_or_flat
branch_04,State_7,LAM1110,401,10,0.0014486705045040765,-0.0039891002283228665,0.0068864412373310195,0.6007309542088206,increase_or_flat
branch_04,State_7,LAM1158,390,10,0.0014246212704242013,-0.00416694142345029,0.007016183964298693,0.6166897967474856,increase_or_flat
branch_04,State_7,LAM1163,351,10,0.0039982036175624895,-0.0021257892921376313,0.01012219652726261,0.19995217978506172,increase_or_flat
branch_04,State_7,LAM1164,387,10,0.002052828185363745,-0.0035786735277133688,0.007684329898440858,0.47396421880520556,increase_or_flat
branch_04,State_7,LAM2,397,10,0.0013629059537063823,-0.004204831340598414,0.006930643248011179,0.6305892025063223,increase_or_flat
branch_04,State_7,LAM3,263,10,-0.006094487236785416,-0.01120476893421386,-0.0009842055393569716,0.019611228634802705,decrease
branch_04,State_7,LAM32,366,10,0.001636248419042953,-0.003926768718481253,0.007199265556567159,0.5633232962598715,increase_or_flat
branch_04,State_7,LAM4,403,10,0.001329759564550205,-0.0040495067139830684,0.0067090258430834784,0.6272348700895246,increase_or_flat
branch_04,State_7,LAM44,401,10,0.0014991827413120377,-0.003928897425542252,0.006927262908166328,0.5874344578237445,increase_or_flat
branch_04,State_7,LAM50,303,10,0.0058895235979285546,-0.000788456416624915,0.012567503612482024,0.08366311647513801,increase_or_flat
