state,state_total_cells,hop_1_cells,hop_2_cells,hop_3_cells,state15_edge_count,state15_edge_count_over_state_cells,state15_direct_neighbor_cell_count,patient_count,dataset_count,state_patient_count,state_dataset_count
State_1,703,3,60,367,6,0.008534850640113799,3,2,1,10,4
State_10,4,0,2,2,0,0.0,0,0,0,1,1
State_11,3,0,3,0,0,0.0,0,0,0,1,1
State_12,605,22,165,327,60,0.09917355371900827,22,5,3,9,4
State_13,6,3,2,1,7,1.1666666666666667,3,1,1,3,3
State_14,3,2,1,0,26,8.666666666666666,2,1,1,1,1
State_16,396,96,234,65,293,0.73989898989899,96,8,4,10,4
State_17,121,4,34,41,15,0.12396694214876033,4,2,1,5,3
State_18,174,2,37,132,2,0.011494252873563218,2,2,2,9,4
State_19,2,0,0,2,0,0.0,0,0,0,2,2
State_2,1,0,0,1,0,0.0,0,0,0,1,1
State_20,756,22,320,384,37,0.04894179894179894,22,6,3,10,4
State_3,4,0,1,3,0,0.0,0,0,0,2,2
State_4,550,0,12,310,0,0.0,0,0,0,10,4
State_5,864,6,66,429,9,0.010416666666666666,6,3,3,10,4
State_6,3,0,0,3,0,0.0,0,0,0,2,2
State_7,576,11,87,308,38,0.06597222222222222,11,3,3,11,4
State_8,1,0,0,1,0,0.0,0,0,0,1,1
State_9,406,5,82,235,15,0.03694581280788178,5,1,1,5,4
boundary,16883,162,2608,8878,285,0.01688088609844222,162,9,4,12,4
