row_type,branch_id,source_state,distance_segment,n_cells,LAMCORE_full_median,LAMCORE_full_q25,LAMCORE_full_q75,LAMCORE_no_gate_median,LAMCORE_no_gate_q25,LAMCORE_no_gate_q75,LAMCORE_outside_scVI_median,LAMCORE_outside_scVI_q25,LAMCORE_outside_scVI_q75,LAMCORE_independent_median,LAMCORE_independent_q25,LAMCORE_independent_q75,CORE1_median,CORE1_q25,CORE1_q75,CORE2_median,CORE2_q25,CORE2_q75,CORE3_median,CORE3_q25,CORE3_q75,melanocytic_median,melanocytic_q25,melanocytic_q75,myogenic_median,myogenic_q25,myogenic_q75,VEGFD_median,VEGFD_q25,VEGFD_q75,CTSK_median,CTSK_q25,CTSK_q75,lam_support_median,lam_support_q25,lam_support_q75,HOX_PBX_median,HOX_PBX_q25,HOX_PBX_q75,hormone_median,hormone_q25,hormone_q75,ECM_median,ECM_q25,ECM_q75,protease_median,protease_q25,protease_q75,mTOR_translation_median,mTOR_translation_q25,mTOR_translation_q75,T_NK_median,T_NK_q25,T_NK_q75,macrophage_median,macrophage_q25,macrophage_q75,AT2_median,AT2_q25,AT2_q75,endothelial_median,endothelial_q25,endothelial_q75,lymphatic_endothelial_median,lymphatic_endothelial_q25,lymphatic_endothelial_q75,fibroblast_median,fibroblast_q25,fibroblast_q75,pericyte_VSMC_median,pericyte_VSMC_q25,pericyte_VSMC_q75,mesothelial_median,mesothelial_q25,mesothelial_q75,ciliated_median,ciliated_q25,ciliated_q75,distance_metric,score_name,n_patients,patient_adjusted_slope,ci95_low,ci95_high,pvalue,spearman_rho,spearman_pvalue
segment,state16,State_16,near,131,0.2907372117042541,0.19000995159149164,0.5514571666717529,0.2804271876811981,0.17632843554019925,0.5449997782707214,0.1811632663011551,0.10303922742605205,0.49885739386081696,0.1822373569011688,0.10365013033151624,0.49229843914508814,1.4896783828735352,1.1244770884513855,1.8642365336418152,0.6652798652648926,0.4108613431453705,0.9256362020969391,1.3629703521728516,1.0670199394226074,1.6435118317604065,0.8187494277954102,0.38813357055187225,1.1133216619491577,1.871472239494324,1.344475269317627,2.4392086267471313,0.0,0.0,0.0,2.230250835418701,0.0,3.4372146129608154,1.279986023902893,0.9053302109241486,1.5598851442337036,0.2466202974319458,0.0,0.684786856174469,0.1725514382123947,0.0,0.7488799691200256,0.5262212753295898,0.30231811106204987,0.8098965883255005,0.399208515882492,0.2220504507422447,0.6306779086589813,1.2915626764297483,0.41999793052673334,1.804345428943634,0.0,0.0,0.0,0.2616355717182159,0.12825365737080568,0.38755559921264643,0.7228212952613831,0.4673333317041397,1.0402883887290955,0.0,0.0,0.0,0.0,0.0,0.0,0.4043343663215637,0.18146607279777524,0.5910004675388336,1.36445951461792,1.0461544394493103,1.6773365139961243,0.0,0.0,0.0,0.0,0.0,0.0426432359963655,,,,,,,,,
segment,state16,State_16,mid,132,0.19780918955802915,0.13829147815704343,0.4021345525979996,0.1894672811031341,0.13021051883697504,0.40295607596635813,0.11121013015508645,0.07080212607979768,0.34778244048357004,0.11186948046088216,0.07099503278732293,0.3440678715705871,1.4439259767532349,0.9634347409009933,1.9040460884571078,0.4184529632329941,0.30551908165216446,0.6854601353406906,1.0205429792404177,0.7997543215751648,1.3510313630104065,0.43142589926719666,0.0,0.8247825801372528,1.6459383964538574,1.1122783720493317,2.2588632106781006,0.0,0.0,0.0,2.097182512283325,0.0,2.912415623664856,0.9678975939750672,0.6252875924110413,1.3602598905563354,0.0,0.0,0.5902437418699265,0.0,0.0,0.6271224170923233,0.45571801066398615,0.29127486795186996,0.5891583561897278,0.32313553988933563,0.2114335224032402,0.5367854833602905,1.5573151111602783,0.6925060451030731,1.9507514238357544,0.0,0.0,0.00958764273673295,0.2496192902326584,0.07477984018623823,0.42357637733221054,0.8350925147533417,0.544669434428215,1.2508213818073273,0.0,0.0,0.0,0.0,0.0,0.0,0.245393268764019,0.0,0.4929237365722656,1.351885735988617,0.8912423551082611,1.7252337336540222,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
segment,state16,State_16,far,132,0.17593025416135785,0.10501462221145622,0.3525114059448242,0.16712947189807892,0.09795776009559623,0.3450654000043869,0.11661124229431144,0.07277741283178328,0.27817388623952866,0.11642098426818845,0.0721181239932775,0.2791130840778351,0.866884708404541,0.22138307243585584,1.7067760527133942,0.3285843282938003,0.18800653517246244,0.5750796645879745,0.7992178797721863,0.45496547967195505,1.1382062435150144,0.4004412740468979,0.0,0.8421415537595749,0.9576849937438965,0.3343157321214676,1.7930701076984406,0.0,0.0,0.0,0.9058552384376526,0.0,2.3594255447387695,0.6954089105129242,0.3872479945421219,1.1607724130153656,0.0,0.0,0.41476914286613464,0.0,0.0,0.5055986568331718,0.2977417260408401,0.1484332419931888,0.5740807950496674,0.2699051946401596,0.1614526137709617,0.4069157540798187,1.363124430179596,0.622930496931076,1.886384755373001,0.0,0.0,0.4216892495751381,0.2502002567052841,0.0829073041677475,0.4956667050719261,0.8121290802955627,0.3449277877807617,1.1666201055049896,0.0,0.0,0.0,0.0,0.0,0.0,0.1369415298104286,0.0,0.4299974590539932,0.703125,0.19164673238992688,1.505763679742813,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,LAMCORE_full,10.0,-0.040988534763161034,-0.06382305532038579,-0.018154014205936275,0.0004671693759002465,-0.2900007593768437,4.304515629450522e-09
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,LAMCORE_no_gate,10.0,-0.03927826062955289,-0.06206332417722478,-0.016493197081881,0.0007730867586440318,-0.2805404816006885,1.4091950536119007e-08
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,LAMCORE_outside_scVI,10.0,-0.024042727265506866,-0.04675417752365162,-0.0013312770073621097,0.03805824916721444,-0.1755213900879904,0.00045728021770543545
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,LAMCORE_independent,10.0,-0.023930941349893944,-0.046342552480006655,-0.0015193302197812342,0.036429342715900294,-0.17862957792277337,0.0003601602645579494
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,CORE1,10.0,-0.2699925657658814,-0.3628238125148286,-0.17716131901693416,2.1636575679531044e-08,-0.34000186449219977,3.813288264515451e-12
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,CORE2,10.0,-0.13173776253164302,-0.17953138405413388,-0.08394414100915217,1.057733653358356e-07,-0.4028110687840155,7.676468368246608e-17
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,CORE3,10.0,-0.2173908458563082,-0.2777766478033309,-0.1570050439092855,6.985386539440038e-12,-0.47768736650057736,6.576627422194222e-24
